month,ics,ice,icc
1951-02,,,67.7
1951-05,,,60.2
1951-11,,,63.6
1952-02,,,66.2
1952-05,,,70.4
1952-11,86.2,92.4,73.4
1953-02,90.7,95.5,78.7
1953-08,80.8,,
1953-11,80.7,83.9,73.4
1954-02,82,85.3,75.7
1954-05,82.9,86.1,81.4
1954-11,87,89.7,83.2
1955-02,95.9,,
1955-05,99.1,99.9,95
1955-11,99.7,103.8,94.6
1956-05,98.2,103.3,
1956-08,99.9,105.2,93.1
1956-11,100.2,105.2,94.2
1957-05,92.9,96.2,88.9
1957-11,83.7,86.3,79.5
1958-02,78.5,,
1958-05,80.9,82.9,78
1958-11,90.8,94.1,86.7
1959-05,95.3,97.5,92.7
1959-11,93.8,95.8,87
1960-02,100,104.6,99.6
1960-05,93.3,98.6,91.6
1960-08,97.2,97.5,96.9
1960-11,90.1,93.4,89.3
1961-02,91.6,94.9,93.2
1961-05,92.5,98.1,90.9
1961-08,99.2,98.5,100.2
1961-11,93,96.8,94
1962-02,99.9,103.4,100.8
1962-05,95.4,96.5,94.2
1962-08,91.6,93.4,95.6
1962-11,95,99.2,95.5
1963-02,98.4,99.9,103.2
1963-05,91.7,94.1,94.3
1963-08,96.4,97,102.3
1963-11,94.4,97,97.6
1964-02,99.5,99.4,99.5
1964-05,98.5,97.2,99.9
1964-08,100.6,,
1964-11,99.9,,
1965-02,102,103,100.4
1965-05,105.4,103.1,109
1965-08,103.4,104.3,102.9
1965-11,102.9,104.8,100
1966-02,100,100,100
1966-05,95.7,96,95.7
1966-08,91.2,90.7,92
1966-11,88.3,90.2,85.1
1967-02,94.1,96.4,90.4
1967-05,95.9,94.3,98.4
1967-08,97,95.5,99.5
1967-11,92.9,91.1,95.6
1968-02,97.2,94.3,101.6
1968-05,92.4,89.9,96.4
1968-08,92.4,89.6,96.8
1968-11,91.7,91.6,91.9
1969-02,98.2,98,98.3
1969-05,91.5,91.1,92.2
1969-08,86.4,86.6,86.2
1969-11,79.7,79.6,79.9
1970-02,78.1,75.8,81.6
1970-05,75.4,71.2,81.9
1970-08,77.6,75.7,80.6
1970-11,72.4,71.3,74
1971-02,78.1,75.9,81.7
1971-05,80.2,75.9,87
1971-08,82.1,78.4,87.8
1971-11,82,77.2,89.6
1972-02,92.8,90.9,95.7
1972-05,88.6,82.2,98.6
1972-08,95.2,91.3,101.2
1972-11,90.7,87.8,95.2
1973-02,81.9,73.3,95.1
1973-05,77,67.3,92
1973-08,72,63,85.9
1973-11,76.5,67.1,91
1974-02,61.8,49.4,81.1
1974-05,72.1,63.9,84.9
1974-08,64.4,57.6,75
1974-11,59.5,51.2,72.4
1975-02,57.6,50,69.3
1975-05,72.8,69.8,77.4
1975-08,75.7,70.7,83.5
1975-11,75.6,69.9,84.4
1976-02,84.6,81.2,89.9
1976-05,83.3,79.5,89.1
1976-08,89.7,85.5,96.2
1976-11,87,85.9,88.7
1977-02,87.1,84.2,91.6
1977-05,90.2,83.6,100.4
1977-08,89,81.5,100.8
1977-11,84.4,75.9,97.6
1978-01,83.7,75.7,96.2
1978-02,84.3,77.2,95.4
1978-03,78.8,69.5,93.2
1978-04,81.6,71.1,98
1978-05,82.9,73,98.2
1978-06,80,68.1,98.4
1978-07,82.4,72,98.7
1978-08,78.4,67,96.1
1978-09,80.4,69.8,96.9
1978-10,79.3,71.7,91.2
1978-11,75,62.8,94.1
1978-12,66.1,53.8,85.2
1979-01,72.1,58.4,93.3
1979-02,73.9,62.2,92.2
1979-03,68.4,53.7,91.2
1979-04,66,53.3,85.9
1979-05,68.1,54.9,88.7
1979-06,65.8,51.4,88.2
1979-07,60.4,44.2,85.7
1979-08,64.5,49.3,88.2
1979-09,66.7,53.6,87.1
1979-10,62.1,49.5,81.6
1979-11,63.3,52,80.9
1979-12,61,51.5,75.8
1980-01,67,54.1,87.1
1980-02,66.9,54.9,85.5
1980-03,56.5,44.3,75.3
1980-04,52.7,44.4,65.8
1980-05,51.7,45.3,61.7
1980-06,58.7,53,67.4
1980-07,62.3,53.4,76.1
1980-08,67.3,59.6,79.4
1980-09,73.7,67.9,82.7
1980-10,75,69.6,83.4
1980-11,76.7,76.9,76.4
1980-12,64.5,60.4,70.9
1981-01,71.4,67.9,76.7
1981-02,66.9,62.1,74.4
1981-03,66.5,62.1,73.5
1981-04,72.4,68.8,78.1
1981-05,76.3,73.6,80.4
1981-06,73.1,71.2,76.1
1981-07,74.1,67.1,84.9
1981-08,77.2,70.8,87.1
1981-09,73.1,69,79.5
1981-10,70.3,62.2,82.8
1981-11,62.5,56.3,72.1
1981-12,64.3,56.8,75.9
1982-01,71,62.9,83.5
1982-02,66.5,58.7,78.6
1982-03,62,53.1,75.9
1982-04,65.5,61.1,72.3
1982-05,67.5,62,76.1
1982-06,65.7,60.1,74.3
1982-07,65.4,57.6,77.5
1982-08,65.4,60.9,72.5
1982-09,69.3,66.9,72.9
1982-10,73.4,70.4,78.1
1982-11,72.1,71,73.8
1982-12,71.9,67.9,78.1
1983-01,70.4,65.2,78.4
1983-02,74.6,71.2,79.9
1983-03,80.8,80.9,80.5
1983-04,89.1,86.9,92.7
1983-05,93.3,93.4,93.1
1983-06,92.2,89.2,96.9
1983-07,92.8,90.5,96.5
1983-08,90.9,88.2,95.1
1983-09,89.9,85.8,96.4
1983-10,89.3,86.1,94.3
1983-11,91.1,87.9,96.1
1983-12,94.2,91,99.3
1984-01,100.1,97,104.9
1984-02,97.4,93.2,103.9
1984-03,101,97.7,106
1984-04,96.1,91.4,103.5
1984-05,98.1,90.6,109.8
1984-06,95.5,89.8,104.4
1984-07,96.6,91.9,103.9
1984-08,99.1,93.7,107.5
1984-09,100.9,96.4,107.8
1984-10,96.3,91.6,103.6
1984-11,95.7,91.5,102.4
1984-12,92.9,87.9,100.6
1985-01,96,90.3,104.9
1985-02,93.7,86.5,105.1
1985-03,93.7,87.3,103.7
1985-04,94.6,87,106.6
1985-05,91.8,84.2,103.7
1985-06,96.5,91.1,104.9
1985-07,94,87.4,104.3
1985-08,92.4,86.3,101.8
1985-09,92.1,84.2,104.3
1985-10,88.4,80.8,100.3
1985-11,90.9,84.5,100.7
1985-12,93.9,88.1,103.1
1986-01,95.6,85.3,111.8
1986-02,95.9,87.8,108.4
1986-03,95.1,86.9,107.9
1986-04,96.2,88.5,108.1
1986-05,94.8,87.5,106.2
1986-06,99.3,90.3,113.3
1986-07,97.7,88.5,112.1
1986-08,94.9,85.9,108.9
1986-09,91.9,81.3,108.3
1986-10,95.6,87.1,108.9
1986-11,91.4,81.6,106.7
1986-12,89.1,78.3,105.8
1987-01,90.4,80.9,105.1
1987-02,90.2,81.6,103.7
1987-03,90.8,83.3,102.5
1987-04,92.8,84.7,105.5
1987-05,91.1,80.6,107.4
1987-06,91.5,80.8,108.1
1987-07,93.7,83.3,109.9
1987-08,94.4,85.8,107.8
1987-09,93.6,84.2,108.3
1987-10,89.3,80.4,103.1
1987-11,83.1,72.7,99.3
1987-12,86.8,76.7,102.7
1988-01,90.8,80.9,106.2
1988-02,91.6,81.9,106.6
1988-03,94.6,85.2,109.1
1988-04,91.2,82.4,104.8
1988-05,94.8,87.3,106.5
1988-06,94.7,85.7,108.6
1988-07,93.4,82.3,110.7
1988-08,97.4,88.8,110.8
1988-09,97.3,89.5,109.4
1988-10,94.1,87,105
1988-11,93,86.3,103.3
1988-12,91.9,85.5,102
1989-01,97.9,89.9,110.3
1989-02,95.4,88.8,105.7
1989-03,94.3,87.6,104.8
1989-04,91.5,83.2,104.4
1989-05,90.7,80.1,107.1
1989-06,90.6,82,104.1
1989-07,92,85.5,102.1
1989-08,89.6,80.3,103.9
1989-09,95.8,88.6,107.1
1989-10,93.9,87.2,104.4
1989-11,90.9,84.3,101.2
1989-12,90.5,85.5,98.2
1990-01,93,83.4,108
1990-02,89.5,81.3,102.3
1990-03,91.3,81.3,106.9
1990-04,93.9,83.9,109.4
1990-05,90.6,79.3,108.1
1990-06,88.3,76.6,106.5
1990-07,88.2,77.3,105.1
1990-08,76.4,62.9,97.5
1990-09,72.8,58.8,94.7
1990-10,63.9,50.9,84.2
1990-11,66,52.8,86.7
1990-12,65.5,53.7,84
1991-01,66.8,55.2,84.9
1991-02,70.4,62,83.7
1991-03,87.7,84.5,92.7
1991-04,81.8,74.7,92.8
1991-05,78.3,71.5,89
1991-06,82.1,75.9,91.9
1991-07,82.9,74.4,96.1
1991-08,82,75.3,92.3
1991-09,83,76.4,93.2
1991-10,78.3,70.5,90.4
1991-11,69.1,61.9,80.3
1991-12,68.2,61.5,78.7
1992-01,67.5,59.1,80.5
1992-02,68.8,61.8,79.7
1992-03,76,70.3,84.9
1992-04,77.2,70.5,87.7
1992-05,79.2,71.2,91.5
1992-06,80.4,70.7,95.4
