month,cci,expectations,present_situation
1967-02,134.3,119.9,155.9
1967-04,140.7,125.8,162.9
1967-06,134,116.8,159.9
1967-08,130.1,109.1,161.7
1967-10,134.5,114.5,164.4
1967-12,136.1,118.2,162.8
1968-02,137.9,123.7,159.1
1968-04,136.6,116.5,166.8
1968-06,130.7,108.4,164.2
1968-08,131.3,107.7,166.8
1968-10,142.3,120.5,174.8
1968-12,137.9,114.9,172.4
1969-02,138.2,119.1,166.9
1969-04,136.6,114.5,169.7
1969-06,137.9,117.4,168.6
1969-08,131.7,111,162.8
1969-10,126.8,103.2,162.2
1969-12,126,102.9,160.8
1970-02,101.7,88.8,121.1
1970-04,98,92.1,106.9
1970-06,88.1,90,85.1
1970-08,91,101,75.9
1970-10,83.2,97.5,61.8
1970-12,75.7,94.8,47.1
1971-02,77.4,98.9,45.3
1971-04,75.2,98.5,40.2
1971-06,82.3,104.6,48.9
1971-08,82.1,103.4,50.1
1971-10,80.3,100.9,49.4
1971-12,85,107.1,52
1972-02,93.6,111,67.5
1972-04,95.1,108.8,74.4
1972-06,98.9,107.5,86
1972-08,104.1,110.7,94.2
1972-10,112,113.3,110
1972-12,116.1,114.9,117.9
1973-02,110.8,100.8,125.7
1973-04,102.8,94.4,115.5
1973-06,104.4,92.2,122.6
1973-08,93.8,76.4,120
1973-10,107.5,95.6,125.3
1973-12,70.6,45.2,108.8
1974-02,62.7,53.9,75.9
1974-04,95.1,91.2,101.1
1974-06,92.5,86.8,101.2
1974-08,77.3,70.4,87.7
1974-10,54.5,49.9,61.4
1974-12,43.2,50.5,32.3
1975-02,54.5,69.5,31.9
1975-04,66.4,88.9,32.6
1975-06,72.2,97.8,33.6
1975-08,82.4,107.6,44.5
1975-10,77.6,95.2,51.2
1975-12,93.7,112.1,66
1976-02,101,117.9,75.7
1976-04,89.5,100.1,73.6
1976-06,94.5,103.8,80.6
1976-08,94.6,105.1,78.8
1976-10,87.1,99.7,68.2
1976-12,98.9,116.3,72.8
1977-02,97.6,115.5,70.7
1977-04,93.1,100.9,81.3
1977-06,98.2,99.4,96.5
1977-07,97.5,100.6,92.8
1977-08,98.7,100.5,96
1977-09,96.7,95.3,98.8
1977-10,95.5,97.9,91.9
1977-11,98.9,103.2,92.6
1977-12,109.7,113.1,104.6
1978-01,107.8,109.4,105.4
1978-02,107,108.2,105.2
1978-03,104.7,107.1,101.2
1978-04,109.9,108.6,112
1978-05,105.5,99.1,115
1978-06,109.5,101,122.2
