month,announced_layoffs
1989-01,3278.23
1989-02,3169.94
1989-03,3401.83
1989-04,3121.02
1989-05,3271.48
1989-06,3707.5
1989-07,5205.15
1989-08,7730.95
1989-09,11148.9
1989-10,16510.4
1989-11,21761.2
1989-12,28978.4
1990-01,34750.5
1990-02,34320.4
1990-03,37981.1
1990-04,33949.1
1990-05,30171.4
1990-06,23565.5
1990-07,18984.7
1990-08,15492.9
1990-09,14626.4
1990-10,17913.6
1990-11,22883
1990-12,31408.4
1991-01,38191
1991-02,36213
1991-03,35651.9
1991-04,27385.6
1991-05,23786.6
1991-06,25449.8
1991-07,35437.7
1991-08,49374.8
1991-09,62694.4
1991-10,76565.7
1991-11,76256.3
1991-12,68285
1992-01,50577.1
1992-02,32830.7
1992-03,27407.3
1992-04,25546.3
1992-05,28895.3
1992-06,31044.4
1992-07,35260
1992-08,38487.7
1992-09,40321.8
1992-10,44853.9
1992-11,46509.1
1992-12,51289.9
1993-01,103217
1993-02,36970
1993-03,30428
1993-04,31508
1993-05,14086
1993-06,38669
1993-07,98736
1993-08,46964
1993-09,48786
1993-10,66801
1993-11,67632
1993-12,31389
1994-01,108946
1994-02,34618
1994-03,49008
1994-04,36102
1994-05,36287
1994-06,35032
1994-07,19146
1994-08,46380
1994-09,52180
1994-10,42364
1994-11,28490
1994-12,27516
1995-01,38962
1995-02,30945
1995-03,27809
1995-04,15678
1995-05,58530
1995-06,40375
1995-07,23238
1995-08,33262
1995-09,33173
1995-10,41335
1995-11,41293
1995-12,55237
1996-01,97379
1996-02,33830
1996-03,37486
1996-04,30810
1996-05,30845
1996-06,40163
1996-07,41843
1996-08,20309
1996-09,29632
1996-10,47911
1996-11,29537
1996-12,37402
1997-01,43595
1997-02,40480
1997-03,50182
1997-04,15214
1997-05,21004
1997-06,15091
1997-07,48349
1997-08,26883
1997-09,20698
1997-10,47320
1997-11,47241
1997-12,58293
1998-01,72193
1998-02,43919
1998-03,23028
1998-04,48758
1998-05,27631
1998-06,54914
1998-07,50774
1998-08,37177
1998-09,73062
1998-10,91531
1998-11,51642
1998-12,103166
1999-01,79667
1999-02,61870
1999-03,68984
1999-04,54399
1999-05,55231
1999-06,63397
1999-07,54709
1999-08,57253
1999-09,61219
1999-10,22814
1999-11,50907
1999-12,44682
2000-01,50655
2000-02,35415
2000-03,55783
2000-04,79291
2000-05,27036
2000-06,17241
2000-07,63967
2000-08,57221
2000-09,47687
2000-10,44152
2000-11,44152
2000-12,133713
2001-01,142208
2001-02,101731
2001-03,162867
2001-04,165564
2001-05,80140
2001-06,124852
2001-07,205975
2001-08,140019
2001-09,248332
2001-10,242192
2001-11,181412
2001-12,161584
2002-01,212704
2002-02,128115
2002-03,102315
2002-04,112649
2002-05,84978
2002-06,94766
2002-07,80966
2002-08,118067
2002-09,70057
2002-10,176010
2002-11,157508
2002-12,92917
2003-01,132222
2003-02,138177
2003-03,85396
2003-04,146399
2003-05,68623
2003-06,59715
2003-07,85117
2003-08,79925
2003-09,76506
2003-10,171874
2003-11,99452
2003-12,93020
2004-01,117556
2004-02,76250
2004-03,68034
2004-04,72184
2004-05,73368
2004-06,64343
2004-07,69572
2004-08,74150
2004-09,107863
2004-10,101840
2004-11,104530
2004-12,109040
2005-01,92351
2005-02,108387
2005-03,0
2005-04,0
2005-05,82292
2005-06,110996
2005-07,27180
2005-08,70571
2005-09,71836
2005-10,81301
2005-11,99279
2005-12,107822
2006-01,103466
2006-02,87437
2006-03,64975
2006-04,59688
2006-05,12518
2006-06,67176
2006-07,37178
2006-08,65278
2006-09,100315
2006-10,68226
2006-11,73211
2006-12,52706
2007-01,61674
2007-02,75200
2007-03,40202
2007-04,69679
2007-05,67593
2007-06,55169
2007-07,42392
2007-08,78635
2007-09,66283
2007-10,58787
2007-11,68266
2007-12,43359
2008-01,73741
2008-02,72091
2008-03,53579
2008-04,90024
2008-05,103522
2008-06,81755
2008-07,103312
2008-08,88736
2008-09,95094
2008-10,112884
2008-11,181671
2008-12,166348
2009-01,241749
2009-02,186350
2009-03,150411
2009-04,132590
2009-05,111182
2009-06,74393
2009-07,97373
2009-08,76456
2009-09,66404
2009-10,55679
2009-11,50349
2009-12,45094
2010-01,71482
2010-02,42090
2010-03,67611
2010-04,38326
2010-05,38810
2010-06,39358
2010-07,41676
2010-08,34768
2010-09,37151
2010-10,37986
2010-11,48711
2010-12,32004
2011-01,38519
2011-02,50702
2011-03,41528
2011-04,36490
2011-05,37135
2011-06,41432
2011-07,66414
2011-08,51114
2011-09,115730
2011-10,42759
2011-11,42474
2011-12,41785
2012-01,53486
2012-02,51728
2012-03,37880
2012-04,40559
2012-05,61887
2012-06,37551
2012-07,36855
2012-08,32239
2012-09,33816
2012-10,47724
2012-11,57081
2012-12,32556
2013-01,40430
2013-02,55356
2013-03,49255
2013-04,38121
2013-05,36398
2013-06,39372
2013-07,37701
2013-08,50462
2013-09,40289
2013-10,45730
2013-11,45314
2013-12,30623
2014-01,45107
2014-02,41835
2014-03,34399
2014-04,40298
2014-05,52961
2014-06,31434
2014-07,46887
2014-08,40010
2014-09,30477
2014-10,51183
2014-11,35940
2014-12,32640
2015-01,53041
2015-02,50579
2015-03,36594
2015-04,61582
2015-05,41034
2015-06,44842
2015-07,105696
2015-08,41186
2015-09,58877
2015-10,50504
2015-11,30953
2015-12,23622
2016-01,75114
2016-02,61599
2016-03,44207
2016-04,64141
2016-05,30157
2016-06,38536
2016-07,45346
2016-08,32188
2016-09,44324
2016-10,30740
2016-11,26936
2016-12,33627
2017-01,45934
2017-02,36957
2017-03,43310
2017-04,36602
2017-05,33092
2017-06,31105
2017-07,28307
2017-08,33825
2017-09,32346
2017-10,29831
2017-11,35038
2017-12,32423
2018-01,44653
2018-02,35369
2018-03,60357
2018-04,36081
2018-05,31517
2018-06,37202
2018-07,27122
2018-08,38472
2018-09,55285
2018-10,75644
2018-11,53073
2018-12,43884
2019-01,52988
2019-02,76835
2019-03,60587
2019-04,40023
2019-05,58577
2019-06,41977
2019-07,38845
2019-08,53480
2019-09,41557
2019-10,50275
2019-11,44569
2019-12,32843
2020-01,67735
2020-02,56660
2020-03,222288
2020-04,671129
2020-05,397016
2020-06,170219
2020-07,262649
2020-08,115762
2020-09,118804
