month,lei
1959-01,22.2
1959-02,22.5
1959-03,22.8
1959-04,22.9
1959-05,23.1
1959-06,23.2
1959-07,23.3
1959-08,23.2
1959-09,23.2
1959-10,23.1
1959-11,23.0
1959-12,23.5
1960-01,23.5
1960-02,23.5
1960-03,23.4
1960-04,23.5
1960-05,23.5
1960-06,23.5
1960-07,23.6
1960-08,23.7
1960-09,23.7
1960-10,23.7
1960-11,23.7
1960-12,23.7
1961-01,23.9
1961-02,24.0
1961-03,24.3
1961-04,24.5
1961-05,24.8
1961-06,25.1
1961-07,25.2
1961-08,25.6
1961-09,25.6
1961-10,26.0
1961-11,26.4
1961-12,26.6
1962-01,26.6
1962-02,26.9
1962-03,27.1
1962-04,27.2
1962-05,27.2
1962-06,27.1
1962-07,27.3
1962-08,27.5
1962-09,27.6
1962-10,27.6
1962-11,28.0
1962-12,28.1
1963-01,28.3
1963-02,28.6
1963-03,28.8
1963-04,29.1
1963-05,29.3
1963-06,29.4
1963-07,29.6
1963-08,29.7
1963-09,30.0
1963-10,30.2
1963-11,30.4
1963-12,30.5
1964-01,30.7
1964-02,31.0
1964-03,31.1
1964-04,31.3
1964-05,31.6
1964-06,31.8
1964-07,32.1
1964-08,32.3
1964-09,32.6
1964-10,32.6
1964-11,32.9
1964-12,33.2
1965-01,33.5
1965-02,33.6
1965-03,34.0
1965-04,34.1
1965-05,34.3
1965-06,34.4
1965-07,34.6
1965-08,34.7
1965-09,35.0
1965-10,35.4
1965-11,35.7
1965-12,36.0
1966-01,36.2
1966-02,36.4
1966-03,36.8
1966-04,36.9
1966-05,36.7
1966-06,36.7
1966-07,36.6
1966-08,36.5
1966-09,36.5
1966-10,36.4
1966-11,36.3
1966-12,36.3
1967-01,36.5
1967-02,36.3
1967-03,36.5
1967-04,36.7
1967-05,37.0
1967-06,37.3
1967-07,37.4
1967-08,37.9
1967-09,38.0
1967-10,38.1
1967-11,38.4
1967-12,38.7
1968-01,38.8
1968-02,39.0
1968-03,39.1
1968-04,39.2
1968-05,39.4
1968-06,39.6
1968-07,39.7
1968-08,39.6
1968-09,40.0
1968-10,40.3
1968-11,40.4
1968-12,40.4
1969-01,40.5
1969-02,40.6
1969-03,40.8
1969-04,41.0
1969-05,40.7
1969-06,40.5
1969-07,40.3
1969-08,40.2
1969-09,40.3
1969-10,40.0
1969-11,39.9
1969-12,39.7
1970-01,39.2
1970-02,38.9
1970-03,38.7
1970-04,38.3
1970-05,38.3
1970-06,38.3
1970-07,38.5
1970-08,38.5
1970-09,38.5
1970-10,38.5
1970-11,38.5
1970-12,39.0
1971-01,39.2
1971-02,39.6
1971-03,39.9
1971-04,40.1
1971-05,40.4
1971-06,40.5
1971-07,40.6
1971-08,40.7
1971-09,40.9
1971-10,41.2
1971-11,41.3
1971-12,41.8
1972-01,42.2
1972-02,42.7
1972-03,43.0
1972-04,43.3
1972-05,43.5
1972-06,43.8
1972-07,44.1
1972-08,44.7
1972-09,45.2
1972-10,45.6
1972-11,46.0
1972-12,46.5
1973-01,46.8
1973-02,47.0
1973-03,46.9
1973-04,46.7
1973-05,46.7
1973-06,46.6
1973-07,46.3
1973-08,45.9
1973-09,45.7
1973-10,45.6
1973-11,45.4
1973-12,44.9
1974-01,44.6
1974-02,44.3
1974-03,44.2
1974-04,43.6
1974-05,43.4
1974-06,42.9
1974-07,42.5
1974-08,41.8
1974-09,41.0
1974-10,40.5
1974-11,39.8
1974-12,39.1
1975-01,38.8
1975-02,38.7
1975-03,38.6
1975-04,39.1
1975-05,39.3
1975-06,39.6
1975-07,40.1
1975-08,40.2
1975-09,40.3
1975-10,40.7
1975-11,40.9
1975-12,41.1
1976-01,41.7
1976-02,42.3
1976-03,42.5
1976-04,42.7
1976-05,43.0
1976-06,43.1
1976-07,43.6
1976-08,43.7
1976-09,44.0
1976-10,44.1
1976-11,44.5
1976-12,45.0
1977-01,44.9
1977-02,45.2
1977-03,45.9
1977-04,46.0
1977-05,46.3
1977-06,46.6
1977-07,46.7
1977-08,46.9
1977-09,47.0
1977-10,47.1
1977-11,47.2
1977-12,47.3
1978-01,47.0
1978-02,47.3
1978-03,47.7
1978-04,48.3
1978-05,48.5
1978-06,48.7
1978-07,48.6
1978-08,49.0
1978-09,49.2
1978-10,49.2
1978-11,49.0
1978-12,49.0
1979-01,48.7
1979-02,48.7
1979-03,49.1
1979-04,48.2
1979-05,48.5
1979-06,48.2
1979-07,47.9
1979-08,47.7
1979-09,47.5
1979-10,47.0
1979-11,46.5
1979-12,46.1
1980-01,46.0
1980-02,45.9
1980-03,44.8
1980-04,43.4
1980-05,42.8
1980-06,43.0
1980-07,43.4
1980-08,43.7
1980-09,44.1
1980-10,44.4
1980-11,44.5
1980-12,44.3
1981-01,43.7
1981-02,43.5
1981-03,43.6
1981-04,43.9
1981-05,43.6
1981-06,43.3
1981-07,42.9
1981-08,42.7
1981-09,42.2
1981-10,41.9
1981-11,41.7
1981-12,41.6
1982-01,41.2
1982-02,41.4
