month,composite,employment,new_orders,prices
1997-07,56.7,53.8,58.8,50.9
1997-08,62,53.8,60.2,53.3
1997-09,56.2,53.2,59.3,53.1
1997-10,56.6,51,60.8,53.1
1997-11,58.5,56.7,59.9,54.3
1997-12,55.5,55,58.8,54.9
1998-01,57,55,57.4,52.7
1998-02,56.2,54.8,59.1,51.6
1998-03,54.7,54.1,55.1,47.9
1998-04,54.9,51.6,57.5,46.8
1998-05,56.2,52.8,60.2,47.2
1998-06,55.1,52.5,55.8,45.5
1998-07,55.8,51.9,58.2,47
1998-08,53.5,52.3,55.3,47.9
1998-09,55,53.7,55.9,46.2
1998-10,53.8,53.1,54.7,49.3
1998-11,52.6,52.6,52.7,47.3
1998-12,52.9,50.9,53.5,48.5
1999-01,55.6,51.4,57.5,47
1999-02,54.4,52.2,56.6,45.5
1999-03,55.3,51.1,58.1,48.9
1999-04,55.5,52,58.6,51.4
1999-05,55.3,52.9,56.4,52.9
1999-06,56.7,55.3,59.7,53.2
1999-07,56.2,53.4,58.1,57.7
1999-08,56.4,52.3,59.6,58.9
1999-09,56.2,51.4,60.1,64.2
1999-10,57.6,51.7,62,58.9
1999-11,54.9,50.6,55.5,61
1999-12,56.9,53,61.1,60.5
2000-01,56.6,52.3,60.8,61.4
2000-02,56.2,52.8,58.9,66.5
2000-03,57.4,55,61.7,68.6
2000-04,58,54.4,61.5,65
2000-05,57.7,53.5,60.5,64.2
2000-06,56.9,54.4,59.4,65
2000-07,55.3,50.5,59.7,62.1
2000-08,57.6,54.2,59.8,59.2
2000-09,56.7,53.5,60.4,62.1
2000-10,56.7,54.5,59.2,63.7
2000-11,56.2,54.6,56.4,60.9
2000-12,54,52.4,54.9,63.5
2001-01,51.6,51.7,50.8,61.8
2001-02,51.3,50.7,51.4,58.1
2001-03,50.7,49.6,52.6,55.8
2001-04,48.3,46.5,47.2,53.8
2001-05,49,46.7,49.3,58.5
2001-06,50.1,45.6,52.2,54.5
2001-07,48.1,46.4,47.5,49.9
2001-08,46.9,45.7,46.5,48.9
2001-09,49.5,46.4,50.8,50.2
2001-10,44.8,43.9,41.3,43.4
2001-11,48.2,44.5,46.4,41.3
2001-12,49.7,44.6,49.9,42.3
2002-01,48.9,44.3,48.3,48.8
2002-02,52.7,43.9,56.3,47.6
2002-03,52.8,45.8,56.4,49.2
2002-04,53.5,47.8,58.4,53.7
2002-05,54.8,49.2,57.3,55.2
2002-06,52.5,44,56.4,53.1
2002-07,50.4,46.1,50.7,60.5
2002-08,50.9,47.2,51.6,55.1
2002-09,52.3,47.1,54.8,53.4
2002-10,51.4,46.6,52.3,56.1
2002-11,52.9,46,56.4,57.6
2002-12,52.3,47,54.2,56.5
2003-01,53.3,50.5,54.4,58
2003-02,52.6,48.5,53.9,60.5
2003-03,49.1,48.1,49.9,59.4
2003-04,50.1,48.7,50.4,55.7
2003-05,52.8,48.5,55.9,50
2003-06,54.3,49.3,57.1,52.3
2003-07,57.3,50.5,62.3,51.4
