Mnemonic:,NAPMETM.IUSA,NAPMNO.IUSA,XNAPMBKM.IUSA,XNAPMCPM.IUSA,NAPM.IUSA
Description:,"ISM: Employment Index, (Difussion index, SA) for United States","ISM: New Orders Index, (Diffusion index, SA) for United States","ISM: Backlog of Orders Index, (Diffusion index, NSA) for United States","ISM: Commodity Prices Diffusion Index, (Diffusion index, NSA) for United States","ISM: Purchasing Managers' Index, (Diffusion index, SA) for United States"
Source:,Institute for Supply Management (ISM),Institute for Supply Management (ISM),Institute for Supply Management (ISM),Institute for Supply Management (ISM),Institute for Supply Management (ISM)
Transformation:,None,None,None,None,None
Data Archives:,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected
Frequency:,Monthly,Monthly,Monthly,Monthly,Monthly
Jan 1947,45.6,48,49.4,43.4,NA
Feb 1947,45.6,48,49.4,43.4,NA
Mar 1947,45.6,48,49.4,43.4,NA
Apr 1947,45.6,48,49.4,43.4,NA
May 1947,45.6,48,49.4,43.4,NA
Jun 1947,45.6,48,49.4,43.4,NA
Jul 1947,45.6,48,49.4,43.4,NA
Aug 1947,45.6,48,49.4,43.4,NA
Sep 1947,45.6,48,49.4,43.4,NA
Oct 1947,45.6,48,49.4,43.4,NA
Nov 1947,45.6,48,49.4,43.4,NA
Dec 1947,45.6,48,49.4,43.4,NA
Jan 1948,54.8,53.3,NA,NA,51.7
Feb 1948,55.8,51.1,NA,NA,50.2
Mar 1948,44,43.9,NA,NA,43.3
Apr 1948,43.9,44.5,NA,NA,45.4
May 1948,51.8,51.2,NA,NA,49.5
Jun 1948,50.8,58.1,NA,NA,53
Jul 1948,49.1,50.4,NA,NA,48.4
Aug 1948,46.1,46,NA,NA,45.1
Sep 1948,46.1,40.6,NA,NA,42.1
Oct 1948,47.5,52.1,NA,NA,47.2
Nov 1948,44,43.2,NA,NA,42.4
Dec 1948,39,34.5,NA,NA,35
Jan 1949,34.1,31.4,NA,NA,32.9
Feb 1949,28.3,34.2,NA,NA,31.3
Mar 1949,31.1,42.1,NA,NA,34.5
Apr 1949,31.6,42.3,NA,NA,35.5
May 1949,29,41.1,NA,NA,32.6
Jun 1949,27.2,39.8,NA,NA,31.6
Jul 1949,34.8,49.1,NA,NA,39
Aug 1949,40,55.7,NA,NA,47
Sep 1949,51.4,58,NA,NA,52.3
Oct 1949,43.7,58.9,NA,NA,51
Nov 1949,42.9,58.7,NA,NA,51
Dec 1949,52.6,53.1,NA,NA,57.3
Jan 1950,57.7,62.3,NA,NA,59.1
Feb 1950,51.1,62.5,NA,NA,60.5
Mar 1950,56.9,61.8,NA,NA,62.1
Apr 1950,63.4,71,NA,NA,68.1
May 1950,69.8,76.6,NA,NA,74.7
Jun 1950,71.9,82.6,NA,NA,76.6
Jul 1950,72.5,80.3,NA,NA,77.5
Aug 1950,72.3,77.1,NA,NA,75.8
Sep 1950,72.2,66.4,NA,NA,68.1
Oct 1950,65.6,49,NA,NA,59.2
Nov 1950,66.7,57.2,NA,NA,63.1
Dec 1950,65.1,67.7,NA,NA,67.1
Jan 1951,67.8,67.9,NA,NA,67.8
Feb 1951,73.7,70,NA,NA,69.3
Mar 1951,72,61,NA,NA,65.5
Apr 1951,61.9,42.3,NA,NA,53.5
May 1951,58.8,45.2,NA,NA,50.7
Jun 1951,56.4,39.1,NA,NA,45.5
Jul 1951,53.2,38.2,NA,NA,42.1
Aug 1951,51.7,38.5,NA,NA,43.6
Sep 1951,48.6,48.2,NA,NA,48.1
Oct 1951,51.1,51.7,NA,NA,49.6
Nov 1951,50.2,49.3,NA,NA,47.2
Dec 1951,51.8,45.3,NA,NA,46.5
Jan 1952,46.9,46.8,NA,NA,44.7
Feb 1952,44.8,42.3,NA,NA,41.8
Mar 1952,41.8,43.7,NA,NA,40
Apr 1952,43.3,35.8,NA,NA,36.7
May 1952,42.7,43.9,NA,NA,39.5
Jun 1952,43.5,46.3,NA,NA,43.3
Jul 1952,39.5,69.4,NA,NA,48.3
Aug 1952,63.1,58.5,NA,NA,60.4
Sep 1952,56.2,60.3,NA,NA,56.1
Oct 1952,57.8,59.9,NA,NA,56.2
Nov 1952,60.9,58.8,NA,NA,56.8
Dec 1952,55.6,60.4,NA,NA,55.8
Jan 1953,61.5,64.6,NA,NA,59.4
Feb 1953,61.7,56,NA,NA,55.4
Mar 1953,59.4,47.2,NA,NA,50.5
Apr 1953,55,52,NA,NA,51.1
May 1953,52.3,49.3,NA,NA,48.9
Jun 1953,53.8,48.3,NA,NA,48.5
Jul 1953,54.4,44.2,NA,NA,46.3
Aug 1953,48.1,42.1,NA,NA,43.5
Sep 1953,43.8,39.9,NA,NA,40.2
Oct 1953,37.9,38,NA,NA,37.4
Nov 1953,35.8,40.9,NA,NA,36.9
Dec 1953,36.6,37.5,NA,NA,35.6
Jan 1954,31.5,42.9,NA,NA,37.4
Feb 1954,34.8,50.3,NA,NA,40.7
Mar 1954,40.2,54.7,NA,NA,44.7
Apr 1954,42.4,58.4,NA,NA,47.7
May 1954,44.5,60.2,NA,NA,50.1
Jun 1954,45.2,64.6,NA,NA,52.1
Jul 1954,44.4,63.8,NA,NA,51.7
Aug 1954,37.7,56.6,NA,NA,54.4
Sep 1954,49.7,62.2,NA,NA,53.5
Oct 1954,55.8,66.7,NA,NA,58.2
Nov 1954,55.1,66,NA,NA,58.8
Dec 1954,55.8,73.6,NA,NA,63.8
Jan 1955,59,66.8,NA,NA,63
Feb 1955,63.4,73.9,NA,NA,67.8
Mar 1955,63,71.5,NA,NA,67.5
Apr 1955,63.9,70.9,NA,NA,68.7
May 1955,66.2,72.9,NA,NA,69.5
Jun 1955,61.2,60.9,NA,NA,63.3
Jul 1955,60.9,67.1,NA,NA,66.2
Aug 1955,59.2,70.4,NA,NA,64.8
Sep 1955,59.7,63.7,NA,NA,62.4
Oct 1955,60.9,66.3,NA,NA,63.7
Nov 1955,61.3,61.5,NA,NA,62
Dec 1955,63.9,66.6,NA,NA,65.6
Jan 1956,62.3,61.8,NA,NA,60.2
Feb 1956,61,56.2,NA,NA,58.2
Mar 1956,56.9,57.3,NA,NA,57.2
Apr 1956,54.8,55.9,NA,NA,55.9
May 1956,51.4,53,NA,NA,51.2
Jun 1956,43.9,48.9,NA,NA,47.7
Jul 1956,40.8,44.4,NA,NA,44.2
Aug 1956,50.3,54.3,NA,NA,51.5
Sep 1956,52.9,60.5,NA,NA,55.5
Oct 1956,52.2,55.6,NA,NA,52.7
Nov 1956,56,57,NA,NA,55
Dec 1956,55.4,52.8,NA,NA,52.7
Jan 1957,56.6,57.6,NA,NA,53.6
Feb 1957,53.8,52.5,NA,NA,51
Mar 1957,52.5,51.1,NA,NA,47.5
Apr 1957,40.3,49.2,NA,NA,43.1
May 1957,41.9,46.1,NA,NA,43.4
Jun 1957,45.1,49.8,NA,NA,45.9
Jul 1957,45.5,47.6,NA,NA,45.7
Aug 1957,43.1,48.8,NA,NA,45.3
Sep 1957,42.1,53.8,NA,NA,45.8
Oct 1957,36.6,46.4,NA,NA,41.1
Nov 1957,34.8,47.2,NA,NA,40.4
Dec 1957,30.4,42.8,NA,NA,36.8
Jan 1958,29.7,35.2,NA,NA,33.4
Feb 1958,27.9,47.3,NA,NA,37.2
Mar 1958,33.4,45.3,NA,NA,39.8
Apr 1958,31.5,47.2,NA,NA,39.1
May 1958,39.7,56.7,NA,NA,46.6
Jun 1958,46.7,60.8,NA,NA,51.4
Jul 1958,47.6,66.5,NA,NA,54.7
Aug 1958,52.1,65.2,NA,NA,57.3
Sep 1958,55.5,67,NA,NA,59.8
Oct 1958,59.6,67.9,NA,NA,62.3
Nov 1958,58,68.5,NA,NA,62.7
Dec 1958,59,64.7,NA,NA,60.5
Jan 1959,60.8,69,NA,NA,64.4
Feb 1959,62.5,70.5,NA,NA,66.9
Mar 1959,62.3,70.2,NA,NA,67.1
Apr 1959,63.6,66.9,NA,NA,66.9
May 1959,64.8,69.9,NA,NA,68.2
Jun 1959,62.2,64.2,NA,NA,64.4
Jul 1959,59,61.3,NA,NA,61.5
Aug 1959,53.6,54.4,NA,NA,55.1
Sep 1959,48,43.7,NA,NA,48.3
Oct 1959,47.3,50,NA,NA,49.7
Nov 1959,48.8,51.1,NA,NA,50.6
Dec 1959,54.8,62.8,NA,NA,58.2
Jan 1960,60.8,65.4,NA,NA,61.5
Feb 1960,57.2,52.5,NA,NA,52.3
Mar 1960,48,52.2,NA,NA,47.8
Apr 1960,42,52,NA,NA,45.3
May 1960,42.5,45.8,NA,NA,42.6
Jun 1960,39.7,49.2,NA,NA,44.4
Jul 1960,42.1,45.7,NA,NA,43.7
Aug 1960,43.6,55.6,NA,NA,47.6
Sep 1960,40.2,50.5,NA,NA,45.4
Oct 1960,43.7,50.1,NA,NA,46
Nov 1960,43,48.2,NA,NA,44.3
Dec 1960,40.7,47.5,NA,NA,44.3
Jan 1961,39.7,47.2,NA,NA,43.9
Feb 1961,34.2,48.7,NA,NA,43.6
Mar 1961,42.2,55.2,NA,NA,49.1
