month,composite,employment,new_orders,prices,business_activity,supplier_deliveries,backlog,new_export_orders,imports,inventories,inventory_sentiment
1997-07,56.7,53.8,58.8,50.9,58.6,55.5,49,62,55.6,51,56.5
1997-08,62,53.8,60.2,53.3,62.6,71.5,56.5,57.5,48.4,48.5,62
1997-09,56.2,53.2,59.3,53.1,59.1,53,49.5,49.5,47.5,54,63
1997-10,56.6,51,60.8,53.1,62.6,52,52,51.5,50.7,46.5,66
1997-11,58.5,56.7,59.9,54.3,61.9,55.5,56,53.5,50.3,51,64.5
1997-12,55.5,55,58.8,54.9,56.5,51.5,49,48.5,52.2,49,67
1998-01,57,55,57.4,52.7,61.4,54,49,52,51.5,48.5,61.5
1998-02,56.2,54.8,59.1,51.6,58.9,52,51.5,51.5,52.6,50.5,59.5
1998-03,54.7,54.1,55.1,47.9,57,52.5,51.5,58.5,50,52.5,64
1998-04,54.9,51.6,57.5,46.8,58.6,52,51,56.5,52.1,52.5,66.5
1998-05,56.2,52.8,60.2,47.2,61.2,50.5,53,48.5,52.8,50,63.5
1998-06,55.1,52.5,55.8,45.5,58.7,53.5,50,55,54.5,49.5,69
1998-07,55.8,51.9,58.2,47,58.6,54.5,52,51.5,50.9,48,60.5
1998-08,53.5,52.3,55.3,47.9,52.2,54,56.5,54,55.2,48,62.5
1998-09,55,53.7,55.9,46.2,57.4,53,54,54,52,50.5,65
1998-10,53.8,53.1,54.7,49.3,54,53.5,49,48.5,48.8,48.5,65.5
1998-11,52.6,52.6,52.7,47.3,54.9,50,46.5,45,50.7,50,63
1998-12,52.9,50.9,53.5,48.5,54.2,53,47,49,50.3,50.5,64.5
1999-01,55.6,51.4,57.5,47,58.8,54.5,49,46.5,53.1,47,61
1999-02,54.4,52.2,56.6,45.5,57.3,51.5,51.5,47.5,52.7,49.5,60.5
1999-03,55.3,51.1,58.1,48.9,59.5,52.5,55.5,58.5,55.3,47.5,61.5
1999-04,55.5,52,58.6,51.4,59.8,51.5,51,56.5,52.6,48.5,63
1999-05,55.3,52.9,56.4,52.9,57.7,54,50.5,58.5,54.4,51.5,61
1999-06,56.7,55.3,59.7,53.2,57.9,54,52,53.5,51.9,49.5,61
1999-07,56.2,53.4,58.1,57.7,60.7,52.5,50,57.5,55.9,49.5,61
1999-08,56.4,52.3,59.6,58.9,60.3,53.5,51.5,58,52.3,52,63
1999-09,56.2,51.4,60.1,64.2,59.1,54,52.5,62.5,55.5,52,61.5
1999-10,57.6,51.7,62,58.9,60.7,56,52,54,55.7,47.5,58
1999-11,54.9,50.6,55.5,61,57,56.5,49,56,53.8,52.5,62.5
1999-12,56.9,53,61.1,60.5,60.4,53,49,58,50.8,50,61.5
2000-01,56.6,52.3,60.8,61.4,57.7,55.5,48.5,57.5,54.9,49.5,67
2000-02,56.2,52.8,58.9,66.5,58.2,55,52,47.5,51.9,49.5,66.5
2000-03,57.4,55,61.7,68.6,60.5,52.5,53,55.5,54.7,51.5,60.5
2000-04,58,54.4,61.5,65,61.1,55,55.5,59,54.6,53.5,64
2000-05,57.7,53.5,60.5,64.2,59.8,57,53.5,62,54.7,49.5,63
2000-06,56.9,54.4,59.4,65,60.3,53.5,56.5,57,52.6,54,66.5
2000-07,55.3,50.5,59.7,62.1,56.5,54.5,50.5,53,53.1,51,68
2000-08,57.6,54.2,59.8,59.2,61.3,55,52,56,53.9,51,61.5
2000-09,56.7,53.5,60.4,62.1,59.8,53,56.5,51.5,46,53.5,65
2000-10,56.7,54.5,59.2,63.7,58.6,54.5,53.5,55,58.9,55,67.5
2000-11,56.2,54.6,56.4,60.9,59.7,54,49.5,55,54.7,49.5,66
2000-12,54,52.4,54.9,63.5,57.5,51,50.5,56.5,53.4,48.5,65
2001-01,51.6,51.7,50.8,61.8,52.5,51.5,42.5,55,49.8,45.5,67.5
2001-02,51.3,50.7,51.4,58.1,51.5,51.5,45.5,53.5,48.7,47,65
2001-03,50.7,49.6,52.6,55.8,50,50.5,47.5,49.5,48.4,49,69
2001-04,48.3,46.5,47.2,53.8,48.3,51,44,55.5,49.8,45.5,64
2001-05,49,46.7,49.3,58.5,47.9,52,46.5,48.5,48.7,47.5,63.5
2001-06,50.1,45.6,52.2,54.5,51.6,51,49,49.5,50,48.5,65
2001-07,48.1,46.4,47.5,49.9,48.1,50.5,42.5,53,50.1,46,61.5
2001-08,46.9,45.7,46.5,48.9,47.4,48,41.5,47.5,52.8,43.5,65.5
2001-09,49.5,46.4,50.8,50.2,49.7,51,48.5,53.5,52.7,44.5,64
2001-10,44.8,43.9,41.3,43.4,40.5,53.5,40.5,44.5,50.7,48,68.5
2001-11,48.2,44.5,46.4,41.3,49.4,52.5,42,48.5,51.6,49.5,67
2001-12,49.7,44.6,49.9,42.3,50.7,53.5,46.5,55,55.9,48.5,66.5
2002-01,48.9,44.3,48.3,48.8,49.8,53,45.5,56.5,55.3,47.5,64.5
2002-02,52.7,43.9,56.3,47.6,57.5,53,47.5,52.5,54.3,51.5,66.5
2002-03,52.8,45.8,56.4,49.2,57.1,52,49.5,49.5,48.9,50,65.5
2002-04,53.5,47.8,58.4,53.7,56.3,51.5,48.5,52.5,56.2,52.5,63
2002-05,54.8,49.2,57.3,55.2,60.5,52,53.5,61.5,54,48.5,65
2002-06,52.5,44,56.4,53.1,56.1,53.5,49,57.5,55.2,47.5,66
2002-07,50.4,46.1,50.7,60.5,52.1,52.5,43.5,59.5,52.6,52,66
2002-08,50.9,47.2,51.6,55.1,51.9,53,48,46,48.3,46,62
2002-09,52.3,47.1,54.8,53.4,54.9,52.5,51,57.5,44.7,44.5,66
2002-10,51.4,46.6,52.3,56.1,53.1,53.5,52,49,54.9,44,64.5
2002-11,52.9,46,56.4,57.6,56.8,52.5,50.5,58.5,55.1,44,61
2002-12,52.3,47,54.2,56.5,55.5,52.5,51.5,54,51.8,45.5,63
2003-01,53.3,50.5,54.4,58,56.2,52,48,53,56.5,46.5,64.5
2003-02,52.6,48.5,53.9,60.5,55.6,52.5,50,58.5,51.5,48.5,66.5
2003-03,49.1,48.1,49.9,59.4,46.3,52,47.5,48.5,55,49.5,66
2003-04,50.1,48.7,50.4,55.7,50.7,50.5,46,52.5,50,51,62.5
2003-05,52.8,48.5,55.9,50,54.6,52,51,49,58.5,52.5,63
2003-06,54.3,49.3,57.1,52.3,59.2,51.5,51.5,49.5,50.5,47,62
2003-07,57.3,50.5,62.3,51.4,62.7,53.5,54.5,47.5,54,49.5,60
2003-08,59.1,51.7,66.9,56.1,65.1,52.5,51.5,58.5,60,49,62
