week_end,refinance,purchase
1990-01-05,158.7,80.2
1990-01-12,168.1,83.3
1990-01-19,168.3,101.2
1990-01-26,128.1,104.9
1990-02-02,110.7,95.3
1990-02-09,106.1,93.2
1990-02-16,82.2,93.4
1990-02-23,121.1,118.8
1990-03-02,80.4,95.5
1990-03-09,105.1,88.7
1990-03-16,100.0,86.7
1990-03-23,90.1,94.3
1990-03-30,102.7,96.2
1990-04-06,92.4,86.7
1990-04-13,95.4,114.2
1990-04-20,81.0,81.2
1990-04-27,78.7,82.9
1990-05-04,68.8,81.5
1990-05-11,78.7,85.8
1990-05-18,75.7,85.2
1990-05-25,72.9,89.5
1990-06-01,83.1,101.1
1990-06-08,86.9,99.8
1990-06-15,87.9,91.8
1990-06-22,69.9,81.5
1990-06-29,72.0,85.8
1990-07-06,85.3,98.4
1990-07-13,80.3,84.2
1990-07-20,96.2,86.5
1990-07-27,93.4,85.5
1990-08-03,141.6,93.6
1990-08-10,168.7,102.6
1990-08-17,104.2,82.3
1990-08-24,102.8,90.7
1990-08-31,90.9,76.7
1990-09-07,74.8,76.0
1990-09-14,85.8,82.9
1990-09-21,70.6,81.9
1990-09-28,86.9,81.0
1990-10-05,88.7,81.3
1990-10-12,88.8,83.6
1990-10-19,69.1,63.4
1990-10-26,76.3,71.5
1990-11-02,79.8,79.8
1990-11-09,83.7,82.0
1990-11-16,95.2,79.6
1990-11-23,93.6,75.5
1990-11-30,106.1,92.3
1990-12-07,130.9,88.7
1990-12-14,161.1,92.9
1990-12-21,152.9,80.5
1990-12-28,152.7,53.5
1991-01-04,233.8,67.2
1991-01-11,244.8,108.0
1991-01-18,192.6,92.4
1991-01-25,171.1,81.9
1991-02-01,168.9,77.8
1991-02-08,208.9,84.4
1991-02-15,230.5,92.0
1991-02-22,401.9,141.0
1991-03-01,363.7,108.0
1991-03-08,407.3,96.1
1991-03-15,403.3,103.3
1991-03-22,322.0,118.4
1991-03-29,270.0,147.2
1991-04-05,290.2,105.5
1991-04-12,272.8,112.4
1991-04-19,194.7,113.2
1991-04-26,187.4,116.9
1991-05-03,175.0,106.7
1991-05-10,207.3,113.3
1991-05-17,202.5,117.7
1991-05-24,173.4,119.8
1991-05-31,211.8,129.1
1991-06-07,186.8,128.2
1991-06-14,177.1,109.7
1991-06-21,163.0,107.1
1991-06-28,146.8,110.5
1991-07-05,148.6,121.6
1991-07-12,141.8,111.9
1991-07-19,188.3,130.2
1991-07-26,137.1,103.8
1991-08-02,147.0,105.2
1991-08-09,189.8,101.7
1991-08-16,232.1,100.3
1991-08-23,335.1,108.5
1991-08-30,289.2,110.6
1991-09-06,272.9,104.8
1991-09-13,321.1,109.1
1991-09-20,400.6,102.7
1991-09-27,439.4,111.0
1991-10-04,511.8,104.7
1991-10-11,506.3,126.4
1991-10-18,601.3,108.2
1991-10-25,618.7,109.6
1991-11-01,551.8,99.2
1991-11-08,567.1,106.3
1991-11-15,808.7,113.9
1991-11-22,924.9,106.1
1991-11-29,725.0,92.0
1991-12-06,676.6,107.7
1991-12-13,761.6,115.1
1991-12-20,632.6,99.4
1991-12-27,881.2,78.8
1992-01-03,1381.3,92.8
1992-01-10,1494.4,122.2
1992-01-17,1752.0,148.9
1992-01-24,1373.0,144.4
1992-01-31,1045.5,155.9
1992-02-07,900.9,143.6
1992-02-14,685.9,138.4
1992-02-21,826.8,132.6
1992-02-28,710.3,102.9
1992-03-06,627.0,115.2
1992-03-13,491.4,118.8
1992-03-20,402.7,111.8
1992-03-27,370.3,117.9
1992-04-03,398.4,104.1
1992-04-10,357.2,109.6
1992-04-17,353.9,146.6
1992-04-24,308.2,111.5
1992-05-01,285.7,110.9
1992-05-08,283.3,112.2
1992-05-15,351.4,112.0
1992-05-22,372.4,116.3
1992-05-29,339.1,136.9
1992-06-05,343.4,117.3
1992-06-12,364.4,118.4
1992-06-19,410.9,117.6
1992-06-26,361.6,114.9
1992-07-03,501.1,128.8
1992-07-10,1017.8,114.5
1992-07-17,1254.7,147.6
1992-07-24,1313.2,143.6
1992-07-31,1149.6,157.7
1992-08-07,941.1,130.0
1992-08-14,1053.7,142.4
1992-08-21,1037.8,152.4
1992-08-28,1086.0,146.2
1992-09-04,1003.5,140.9
