date,effective_rate
1977-01-01,8.2793
1977-02-01,8.2551
1977-03-01,8.2451
1977-04-01,8.2467
1977-05-01,8.2578
1977-06-01,8.2756
1977-07-01,8.2974
1977-08-01,8.3207
1977-09-01,8.3427
1977-10-01,8.3639
1977-11-01,8.3849
1977-12-01,8.4062
1978-01-01,8.4272
1978-02-01,8.4457
1978-03-01,8.4622
1978-04-01,8.4781
1978-05-01,8.4945
1978-06-01,8.5125
1978-07-01,8.5324
1978-08-01,8.5548
1978-09-01,8.5786
1978-10-01,8.6038
1978-11-01,8.6299
1978-12-01,8.6564
1979-01-01,8.6836
1979-02-01,8.7099
1979-03-01,8.7365
1979-04-01,8.7648
1979-05-01,8.7944
1979-06-01,8.8259
1979-07-01,8.8604
1979-08-01,8.8994
1979-09-01,8.9416
1979-10-01,8.9841
1979-11-01,9.0222
1979-12-01,9.0538
1980-01-01,9.0837
1980-02-01,9.1170
1980-03-01,9.1591
1980-04-01,9.2085
1980-05-01,9.2597
1980-06-01,9.3088
1980-07-01,9.3532
1980-08-01,9.3915
1980-09-01,9.4234
1980-10-01,9.4586
1980-11-01,9.5083
1980-12-01,9.5808
1981-01-01,9.6751
1981-02-01,9.7785
1981-03-01,9.8891
1981-04-01,10.0015
1981-05-01,10.1013
1981-06-01,10.1821
1981-07-01,10.2494
1981-08-01,10.3139
1981-09-01,10.3809
1981-10-01,10.4506
1981-11-01,10.5199
1981-12-01,10.5865
1982-01-01,10.6508
1982-02-01,10.7090
1982-03-01,10.7643
1982-04-01,10.8179
1982-05-01,10.8675
1982-06-01,10.9125
1982-07-01,10.9526
1982-08-01,10.9882
1982-09-01,11.0182
1982-10-01,11.0436
1982-11-01,11.0651
1982-12-01,11.0834
1983-01-01,11.0993
1983-02-01,11.1125
1983-03-01,11.1243
1983-04-01,11.1359
1983-05-01,11.1477
1983-06-01,11.1603
1983-07-01,11.1738
1983-08-01,11.1880
1983-09-01,11.2027
1983-10-01,11.2192
1983-11-01,11.2387
1983-12-01,11.2620
1984-01-01,11.2878
1984-02-01,11.3127
1984-03-01,11.3355
1984-04-01,11.3566
1984-05-01,11.3756
1984-06-01,11.3928
1984-07-01,11.4082
1984-08-01,11.4219
1984-09-01,11.4333
1984-10-01,11.4424
1984-11-01,11.4490
1984-12-01,11.4526
1985-01-01,11.4531
1985-02-01,11.4502
1985-03-01,11.4438
1985-04-01,11.4343
1985-05-01,11.4225
1985-06-01,11.4092
1985-07-01,11.3941
1985-08-01,11.3765
1985-09-01,11.3568
1985-10-01,11.3347
1985-11-01,11.3106
1985-12-01,11.2847
1986-01-01,11.2562
1986-02-01,11.2268
1986-03-01,11.1950
1986-04-01,11.1598
1986-05-01,11.1226
1986-06-01,11.0836
1986-07-01,11.0431
1986-08-01,11.0007
1986-09-01,10.9578
1986-10-01,10.9135
1986-11-01,10.8676
1986-12-01,10.8199
1987-01-01,10.7700
1987-02-01,10.7219
1987-03-01,10.6741
1987-04-01,10.6267
1987-05-01,10.5834
1987-06-01,10.5449
1987-07-01,10.5075
1987-08-01,10.4651
1987-09-01,10.4179
1987-10-01,10.3749
1987-11-01,10.3490
