date,hmi,current_sales,next_6mo_sales,traffic,hmi_ne,hmi_mw,hmi_s,hmi_w
1985-01-01,50,50,59,44,,,,
1985-02-01,58,61,64,48,,,,
1985-03-01,54,56,57,48,,,,
1985-04-01,49,51,56,41,,,,
1985-05-01,51,53,58,42,,,,
1985-06-01,54,56,65,44,,,,
1985-07-01,58,60,64,49,,,,
1985-08-01,58,63,64,45,,,,
1985-09-01,56,61,60,44,,,,
1985-10-01,59,61,68,52,,,,
1985-11-01,58,60,66,50,,,,
1985-12-01,57,60,65,47,,,,
1986-01-01,57,59,64,50,,,,
1986-02-01,55,57,63,46,,,,
1986-03-01,57,59,65,48,,,,
1986-04-01,62,64,67,55,,,,
1986-05-01,64,65,70,61,,,,
1986-06-01,65,68,69,58,,,,
1986-07-01,59,62,65,52,,,,
1986-08-01,55,58,58,48,,,,
1986-09-01,57,56,66,54,,,,
1986-10-01,64,67,75,54,,,,
1986-11-01,59,61,66,51,,,,
1986-12-01,64,68,67,55,,,,
1987-01-01,63,68,64,53,,,,
1987-02-01,60,64,64,50,,,,
1987-03-01,60,64,65,48,,,,
1987-04-01,59,62,62,50,,,,
1987-05-01,55,61,59,42,,,,
1987-06-01,56,60,57,46,,,,
1987-07-01,55,58,61,42,,,,
1987-08-01,54,57,60,44,,,,
1987-09-01,52,56,57,43,,,,
1987-10-01,50,54,54,39,,,,
1987-11-01,56,60,64,43,,,,
1987-12-01,51,56,52,39,,,,
1988-01-01,53,56,58,45,,,,
1988-02-01,51,55,56,38,,,,
1988-03-01,51,55,58,40,,,,
1988-04-01,52,57,57,41,,,,
1988-05-01,54,58,59,43,,,,
1988-06-01,49,52,54,39,,,,
1988-07-01,54,58,58,44,,,,
1988-08-01,56,61,56,44,,,,
1988-09-01,53,56,60,42,,,,
1988-10-01,49,47,59,47,,,,
1988-11-01,58,61,70,45,,,,
1988-12-01,60,64,66,48,,,,
1989-01-01,54,59,59,40,,,,
1989-02-01,53,57,61,42,,,,
1989-03-01,48,52,55,37,,,,
1989-04-01,44,48,48,33,,,,
1989-05-01,44,46,53,35,,,,
1989-06-01,45,47,57,36,,,,
1989-07-01,46,49,57,35,,,,
1989-08-01,50,52,60,42,,,,
1989-09-01,51,52,62,43,,,,
1989-10-01,48,51,61,37,,,,
