date,affordability_index
1981-01-01,72.07
1981-02-01,70.87
1981-03-01,69.98
1981-04-01,69.28
1981-05-01,68.16
1981-06-01,67.49
1981-07-01,66.69
1981-08-01,66.17
1981-09-01,64.86
1981-10-01,65.56
1981-11-01,63.92
1981-12-01,64.23
1982-01-01,64.53
1982-02-01,65.27
1982-03-01,65.84
1982-04-01,64.83
1982-05-01,64.48
1982-06-01,66.68
1982-07-01,67.51
1982-08-01,68.44
1982-09-01,70.44
1982-10-01,71.82
1982-11-01,74.01
1982-12-01,75.11
1983-01-01,76.68
1983-02-01,77.46
1983-03-01,78.93
1983-04-01,80.84
1983-05-01,81.30
1983-06-01,81.39
1983-07-01,81.79
1983-08-01,82.06
1983-09-01,81.71
1983-10-01,82.31
1983-11-01,81.20
1983-12-01,81.65
1984-01-01,81.48
1984-02-01,81.09
1984-03-01,81.89
1984-04-01,81.43
1984-05-01,82.19
1984-06-01,82.10
1984-07-01,80.05
1984-08-01,81.65
1984-09-01,82.42
1984-10-01,81.70
1984-11-01,83.20
1984-12-01,84.71
1985-01-01,82.55
1985-02-01,83.85
1985-03-01,83.85
1985-04-01,84.50
1985-05-01,84.58
1985-06-01,86.87
1985-07-01,89.43
1985-08-01,91.56
1985-09-01,92.67
1985-10-01,92.39
1985-11-01,92.99
1985-12-01,92.83
1986-01-01,94.87
1986-02-01,96.86
1986-03-01,96.41
1986-04-01,98.79
1986-05-01,99.45
1986-06-01,101.78
1986-07-01,105.34
1986-08-01,102.31
1986-09-01,103.31
1986-10-01,104.76
1986-11-01,104.44
1986-12-01,104.96
1987-01-01,106.00
1987-02-01,107.14
1987-03-01,109.21
1987-04-01,108.84
1987-05-01,108.20
1987-06-01,106.85
1987-07-01,102.06
1987-08-01,104.49
1987-09-01,104.05
1987-10-01,103.27
1987-11-01,102.24
1987-12-01,102.10
1988-01-01,100.08
1988-02-01,101.41
1988-03-01,103.49
1988-04-01,104.12
1988-05-01,103.23
1988-06-01,103.73
1988-07-01,102.32
1988-08-01,100.73
1988-09-01,101.48
1988-10-01,100.17
1988-11-01,102.02
1988-12-01,101.18
1989-01-01,102.16
1989-02-01,100.28
1989-03-01,99.78
1989-04-01,98.79
1989-05-01,97.70
1989-06-01,101.08
1989-07-01,103.57
1989-08-01,105.74
1989-09-01,104.81
1989-10-01,105.60
1989-11-01,103.60
1989-12-01,105.89
1990-01-01,106.25
1990-02-01,106.48
1990-03-01,102.87
1990-04-01,102.86
1990-05-01,103.64
1990-06-01,101.92
1990-07-01,103.15
1990-08-01,107.74
1990-09-01,105.32
1990-10-01,106.79
1990-11-01,106.87
1990-12-01,107.80
1991-01-01,106.65
1991-02-01,106.64
1991-03-01,106.36
1991-04-01,105.81
1991-05-01,106.11
1991-06-01,108.94
1991-07-01,104.71
1991-08-01,106.75
1991-09-01,108.12
1991-10-01,109.07
1991-11-01,113.75
1991-12-01,116.43
1992-01-01,118.31
1992-02-01,113.83
1992-03-01,111.46
1992-04-01,113.07
1992-05-01,115.13
1992-06-01,117.93
1992-07-01,121.29
1992-08-01,122.02
1992-09-01,122.01
1992-10-01,120.52
1992-11-01,119.66
1992-12-01,119.64
1993-01-01,122.06
1993-02-01,123.46
1993-03-01,124.43
1993-04-01,126.20
1993-05-01,127.09
1993-06-01,126.51
1993-07-01,127.84
1993-08-01,129.55
1993-09-01,128.60
1993-10-01,130.20
1993-11-01,129.12
1993-12-01,127.55
1994-01-01,127.98
1994-02-01,129.49
1994-03-01,127.47
1994-04-01,123.71
1994-05-01,118.68
1994-06-01,117.93
1994-07-01,115.86
1994-08-01,115.20
1994-09-01,115.81
1994-10-01,114.60
1994-11-01,113.25
1994-12-01,113.72
1995-01-01,113.37
1995-02-01,113.25
1995-03-01,115.59
1995-04-01,119.54
1995-05-01,122.63
1995-06-01,125.67
1995-07-01,124.56
1995-08-01,121.82
1995-09-01,121.81
1995-10-01,123.49
1995-11-01,124.10
1995-12-01,127.95
1996-01-01,128.82
1996-02-01,128.61
1996-03-01,126.36
1996-04-01,123.62
1996-05-01,122.37
1996-06-01,120.22
1996-07-01,120.22
1996-08-01,120.74
1996-09-01,121.74
1996-10-01,121.49
1996-11-01,122.98
1996-12-01,123.19
1997-01-01,122.48
1997-02-01,122.82
1997-03-01,122.82
1997-04-01,122.08
1997-05-01,122.43
1997-06-01,123.72
1997-07-01,127.03
1997-08-01,126.10
1997-09-01,126.25
1997-10-01,126.72
1997-11-01,127.23
1997-12-01,126.13
1998-01-01,130.09
1998-02-01,130.36
1998-03-01,131.08
1998-04-01,131.85
1998-05-01,131.64
1998-06-01,133.14
1998-07-01,134.29
1998-08-01,134.96
1998-09-01,135.75
1998-10-01,136.58
1998-11-01,134.65
1998-12-01,134.36
1999-01-01,134.33
1999-02-01,134.03
1999-03-01,134.14
1999-04-01,134.51
1999-05-01,135.66
1999-06-01,131.99
1999-07-01,130.21
1999-08-01,126.07
1999-09-01,125.73
1999-10-01,124.71
1999-11-01,124.16
1999-12-01,123.03
2000-01-01,122.61
2000-02-01,119.23
2000-03-01,120.69
2000-04-01,120.95
2000-05-01,121.49
2000-06-01,121.42
2000-07-01,121.03
2000-08-01,121.48
2000-09-01,122.09
2000-10-01,122.59
2000-11-01,122.81
2000-12-01,123.54
2001-01-01,130.56
2001-02-01,131.51
2001-03-01,129.52
2001-04-01,131.51
2001-05-01,130.02
2001-06-01,128.92
2001-07-01,128.03
2001-08-01,127.72
2001-09-01,128.78
2001-10-01,133.31
2001-11-01,133.53
2001-12-01,127.50
2002-01-01,122.60
2002-02-01,122.79
2002-03-01,122.28
2002-04-01,121.88
2002-05-01,123.05
2002-06-01,122.71
2002-07-01,124.13
2002-08-01,127.37
2002-09-01,126.88
2002-10-01,127.83
2002-11-01,127.28
2002-12-01,127.00
2003-01-01,128.19
2003-02-01,128.79
2003-03-01,130.53
2003-04-01,131.94
2003-05-01,134.21
2003-06-01,136.12
2003-07-01,133.97
2003-08-01,128.34
2003-09-01,122.84
2003-10-01,124.47
2003-11-01,125.46
2003-12-01,123.24
2004-01-01,125.74
2004-02-01,124.67
2004-03-01,125.91
2004-04-01,127.25
2004-05-01,120.11
2004-06-01,115.96
2004-07-01,116.82
2004-08-01,120.10
2004-09-01,119.04
2004-10-01,120.44
2004-11-01,119.03
2004-12-01,119.53
2005-01-01,118.85
2005-02-01,118.83
2005-03-01,115.90
2005-04-01,110.63
2005-05-01,113.21
2005-06-01,112.52
2005-07-01,112.32
2005-08-01,109.29
2005-09-01,108.26
2005-10-01,105.37
2005-11-01,104.70
2005-12-01,106.10
2006-01-01,102.71
2006-02-01,104.74
2006-03-01,105.37
2006-04-01,104.34
2006-05-01,103.97
2006-06-01,109.37
2006-07-01,110.07
2006-08-01,111.81
2006-09-01,109.15
2006-10-01,109.60
2006-11-01,110.63
2006-12-01,109.05
2007-01-01,111.21
2007-02-01,110.28
2007-03-01,112.00
2007-04-01,113.24
2007-05-01,114.88
2007-06-01,115.59
2007-07-01,116.42
2007-08-01,116.84
2007-09-01,121.30
2007-10-01,123.74
2007-11-01,122.24
2007-12-01,124.76
2008-01-01,128.41
2008-02-01,132.92
2008-03-01,131.28
2008-04-01,133.48
2008-05-01,133.37
2008-06-01,134.25
2008-07-01,136.79
2008-08-01,137.92
2008-09-01,143.78
2008-10-01,145.60
2008-11-01,146.26
2008-12-01,159.03
2009-01-01,171.98
2009-02-01,169.19
2009-03-01,168.06
2009-04-01,175.55
2009-05-01,168.86
2009-06-01,170.52
2009-07-01,170.33
2009-08-01,170.26
2009-09-01,163.75
2009-10-01,167.99
2009-11-01,166.85
2009-12-01,166.18
2010-01-01,166.65
2010-02-01,165.81
2010-03-01,164.89
2010-04-01,164.40
2010-05-01,167.45
2010-06-01,170.95
2010-07-01,177.12
2010-08-01,180.21
2010-09-01,178.12
2010-10-01,178.71
2010-11-01,176.88
2010-12-01,173.50
2011-01-01,175.36
2011-02-01,176.76
2011-03-01,178.40
2011-04-01,183.12
2011-05-01,182.44
2011-06-01,184.90
2011-07-01,190.76
2011-08-01,188.84
2011-09-01,189.44
2011-10-01,194.76
2011-11-01,189.72
2011-12-01,190.52
2012-01-01,188.53
2012-02-01,189.70
2012-03-01,197.89
2012-04-01,190.52
2012-05-01,193.83
2012-06-01,194.38
2012-07-01,196.69
2012-08-01,198.23
2012-09-01,198.58
2012-10-01,200.07
2012-11-01,199.84
2012-12-01,201.01
2013-01-01,196.68
2013-02-01,193.68
2013-03-01,188.19
2013-04-01,185.12
2013-05-01,185.85
2013-06-01,180.13
2013-07-01,170.90
2013-08-01,165.85
2013-09-01,166.32
2013-10-01,164.58
2013-11-01,167.88
2013-12-01,163.99
2014-01-01,159.61
2014-02-01,162.76
2014-03-01,165.54
2014-04-01,166.10
2014-05-01,165.42
2014-06-01,165.68
2014-07-01,166.36
2014-08-01,166.26
2014-09-01,167.48
2014-10-01,165.31
2014-11-01,166.81
2014-12-01,166.62
2015-01-01,168.16
2015-02-01,169.05
2015-03-01,168.52
2015-04-01,168.18
2015-05-01,168.23
2015-06-01,167.10
2015-07-01,167.49
2015-08-01,167.01
2015-09-01,166.57
2015-10-01,166.69
2015-11-01,165.42
2015-12-01,160.65
2016-01-01,167.83
2016-02-01,169.26
2016-03-01,170.12
2016-04-01,166.70
2016-05-01,166.69
2016-06-01,165.87
2016-07-01,167.18
2016-08-01,168.23
2016-09-01,167.57
2016-10-01,168.90
2016-11-01,169.37
2016-12-01,165.21
2017-01-01,156.43
2017-02-01,157.25
2017-03-01,161.49
2017-04-01,162.59
2017-05-01,162.21
2017-06-01,156.74
2017-07-01,157.66
2017-08-01,158.23
2017-09-01,158.73
2017-10-01,160.68
2017-11-01,159.32
2017-12-01,158.34
2018-01-01,155.65
2018-02-01,154.11
2018-03-01,150.76
2018-04-01,149.21
2018-05-01,146.88
2018-06-01,145.00
2018-07-01,145.69
2018-08-01,145.85
2018-09-01,146.87
2018-10-01,146.10
2018-11-01,142.81
2018-12-01,144.19
2019-01-01,149.52
2019-02-01,154.42
2019-03-01,155.31
2019-04-01,159.73
2019-05-01,159.47
2019-06-01,164.12
2019-07-01,164.53
2019-08-01,168.24
2019-09-01,169.89
2019-10-01,169.14
2019-11-01,167.51
2019-12-01,158.93
2020-01-01,165.07
2020-02-01,167.62
2020-03-01,165.67
2020-04-01,182.02
2020-05-01,183.33
2020-06-01,182.55
2020-07-01,175.13
2020-08-01,169.17
2020-09-01,166.82
2020-10-01,167.64
2020-11-01,167.36
2020-12-01,164.07
2021-01-01,165.24
2021-02-01,159.65
2021-03-01,156.94
2021-04-01,151.09
2021-05-01,150.99
2021-06-01,149.66
2021-07-01,149.04
2021-08-01,149.73
2021-09-01,147.50
2021-10-01,144.94
2021-11-01,142.59
2021-12-01,135.12
2022-01-01,130.38
2022-02-01,125.93
2022-03-01,120.28
2022-04-01,109.51
2022-05-01,105.74
2022-06-01,105.32
2022-07-01,108.44
2022-08-01,113.13
2022-09-01,103.77
2022-10-01,99.26
2022-11-01,101.41
2022-12-01,103.04
2023-01-01,100.81
2023-02-01,102.32
2023-03-01,100.19
2023-04-01,103.54
2023-05-01,102.04
2023-06-01,99.29
2023-07-01,96.61
2023-08-01,93.89
2023-09-01,93.24
2023-10-01,91.26
2023-11-01,93.50
2023-12-01,94.82
2024-01-01,96.90
2024-02-01,96.14
2024-03-01,97.61
2024-04-01,96.52
2024-05-01,95.61
2024-06-01,98.37
2024-07-01,97.71
2024-08-01,102.12
2024-09-01,104.84
2024-10-01,104.18
2024-11-01,100.72
2024-12-01,94.96
2025-01-01,94.62
2025-02-01,97.12
2025-03-01,101.95
2025-04-01,103.12
2025-05-01,101.26
2025-06-01,102.81
2025-07-01,102.54
2025-08-01,104.07
2025-09-01,106.49
2025-10-01,108.92
2025-11-01,110.17
2025-12-01,104.79
2026-01-01,108.63
2026-02-01,110.68
2026-03-01,111.05
2026-04-01,112.48
