month,optimism,uncertainty,taxes,labor_quality,inflation,labor_costs,poor_sales,insurance,regulations,competition,interest_rates
1974-11-01,89.4,,,,,,,,,,
1974-12-01,,,,,,,,,,,
1975-01-01,,,,,,,,,,,
1975-02-01,86.5,,,,,,,,,,
1975-03-01,,,,,,,,,,,
1975-04-01,,,,,,,,,,,
1975-05-01,94.8,,,,,,,,,,
1975-06-01,,,,,,,,,,,
1975-07-01,,,,,,,,,,,
1975-08-01,99.7,,,,,,,,,,
1975-09-01,,,,,,,,,,,
1975-10-01,,,,,,,,,,,
1975-11-01,100.3,,,,,,,,,,
1975-12-01,,,,,,,,,,,
1976-01-01,,,,,,,,,,,
1976-02-01,101.8,,,,,,,,,,
1976-03-01,,,,,,,,,,,
1976-04-01,,,,,,,,,,,
1976-05-01,102.8,,,,,,,,,,
1976-06-01,,,,,,,,,,,
1976-07-01,,,,,,,,,,,
1976-08-01,102.4,,,,,,,,,,
1976-09-01,,,,,,,,,,,
1976-10-01,,,,,,,,,,,
1976-11-01,101.0,,,,,,,,,,
1976-12-01,,,,,,,,,,,
1977-01-01,,,,,,,,,,,
1977-02-01,102.5,,,,,,,,,,
1977-03-01,,,,,,,,,,,
1977-04-01,,,,,,,,,,,
1977-05-01,102.6,,,,,,,,,,
1977-06-01,,,,,,,,,,,
1977-07-01,,,,,,,,,,,
1977-08-01,102.1,,,,,,,,,,
1977-09-01,,,,,,,,,,,
1977-10-01,,,,,,,,,,,
1977-11-01,99.3,,,,,,,,,,
1977-12-01,,,,,,,,,,,
1978-01-01,,,,,,,,,,,
1978-02-01,100.4,,,,,,,,,,
1978-03-01,,,,,,,,,,,
1978-04-01,,,,,,,,,,,
1978-05-01,98.9,,,,,,,,,,
1978-06-01,,,,,,,,,,,
1978-07-01,,,,,,,,,,,
1978-08-01,97.5,,,,,,,,,,
1978-09-01,,,,,,,,,,,
1978-10-01,,,,,,,,,,,
1978-11-01,99.4,,,,,,,,,,
1978-12-01,,,,,,,,,,,
1979-01-01,,,,,,,,,,,
1979-02-01,94.8,,,,,,,,,,
1979-03-01,,,,,,,,,,,
1979-04-01,,,,,,,,,,,
1979-05-01,93.9,,,,,,,,,,
1979-06-01,,,,,,,,,,,
1979-07-01,,,,,,,,,,,
