quarter_end,mortgage_debt_t
1999-03-31,3.200
1999-06-30,3.310
1999-09-30,3.460
1999-12-31,3.370
2000-03-31,3.620
2000-06-30,3.710
2000-09-30,3.820
2000-12-31,3.900
2001-03-31,4.080
2001-06-30,3.840
2001-09-30,4.170
2001-12-31,4.150
2002-03-31,4.450
2002-06-30,4.430
2002-09-30,4.740
2002-12-31,4.660
2003-03-31,4.942
2003-06-30,5.080
2003-09-30,5.183
2003-12-31,5.660
2004-03-31,5.840
2004-06-30,5.967
2004-09-30,6.210
2004-12-31,6.360
2005-03-31,6.512
2005-06-30,6.696
2005-09-30,6.906
2005-12-31,7.102
2006-03-31,7.436
2006-06-30,7.760
2006-09-30,8.045
2006-12-31,8.234
2007-03-31,8.422
2007-06-30,8.706
2007-09-30,8.925
2007-12-31,9.101
2008-03-31,9.234
2008-06-30,9.273
2008-09-30,9.294
2008-12-31,9.257
2009-03-31,9.135
2009-06-30,9.063
2009-09-30,8.944
2009-12-31,8.843
2010-03-31,8.834
2010-06-30,8.703
2010-09-30,8.609
2010-12-31,8.452
2011-03-31,8.544
2011-06-30,8.516
2011-09-30,8.402
2011-12-31,8.268
2012-03-31,8.187
2012-06-30,8.147
2012-09-30,8.028
2012-12-31,8.033
2013-03-31,7.932
2013-06-30,7.841
2013-09-30,7.897
2013-12-31,8.049
2014-03-31,8.165
2014-06-30,8.096
2014-09-30,8.131
2014-12-31,8.170
2015-03-31,8.171
2015-06-30,8.116
2015-09-30,8.260
2015-12-31,8.249
2016-03-31,8.369
2016-06-30,8.362
2016-09-30,8.350
2016-12-31,8.480
2017-03-31,8.627
2017-06-30,8.691
2017-09-30,8.743
2017-12-31,8.882
2018-03-31,8.939
2018-06-30,8.999
2018-09-30,9.140
2018-12-31,9.124
2019-03-31,9.244
2019-06-30,9.406
2019-09-30,9.437
2019-12-31,9.557
2020-03-31,9.713
2020-06-30,9.776
2020-09-30,9.861
2020-12-31,10.043
2021-03-31,10.160
2021-06-30,10.442
2021-09-30,10.672
2021-12-31,10.930
2022-03-31,11.180
2022-06-30,11.387
2022-09-30,11.669
2022-12-31,11.923
2023-03-31,12.044
2023-06-30,12.014
2023-09-30,12.140
2023-12-31,12.252
2024-03-31,12.442
2024-06-30,12.519
2024-09-30,12.594
2024-12-31,12.605
2025-03-31,12.804
2025-06-30,12.935
2025-09-30,13.072
2025-12-31,13.170
2026-03-31,13.191
