month,infl_headline,infl_bottom40,infl_mid40,infl_top20,edu_urate_gap
2019-01,,0.05,-0.01,0.02,-2.12
2019-02,,0.07,-0.02,0.0,-2.13
2019-03,,0.08,0.0,-0.01,-2.11
2019-04,,0.09,0.01,-0.02,-2.01
2019-05,1.79,0.08,0.0,-0.01,-1.8
2019-06,1.65,0.07,-0.01,0.02,-1.63
2019-07,1.81,0.05,-0.02,0.04,-1.64
2019-08,1.75,0.03,-0.03,0.06,-1.73
2019-09,1.71,0.04,-0.03,0.06,-1.81
2019-10,1.76,0.06,-0.02,0.03,-1.81
2019-11,2.05,0.07,0.0,-0.02,-1.99
2019-12,2.29,0.08,0.02,-0.06,-2.01
2020-01,2.49,0.1,0.02,-0.08,-2.2
2020-02,2.33,0.13,-0.02,-0.04,-2.14
2020-03,1.54,0.18,-0.11,0.02,-2.19
2020-04,0.33,0.23,-0.18,0.06,-4.11
2020-05,0.12,0.28,-0.21,0.03,-6.03
2020-06,0.65,0.28,-0.18,0.0,-7.32
2020-07,0.99,0.25,-0.15,-0.03,-6.3
2020-08,1.31,0.18,-0.12,-0.01,-5.03
2020-09,1.37,0.12,-0.09,0.0,-4.58
2020-10,1.18,0.08,-0.08,0.02,-4.22
2020-11,1.17,0.06,-0.08,0.03,-4.13
2020-12,1.36,0.04,-0.06,0.02,-4.07
2021-01,1.4,0.02,-0.03,-0.01,-4.13
2021-02,1.68,0.0,0.02,-0.08,-4.16
2021-03,2.62,-0.06,0.1,-0.16,-3.8
2021-04,4.16,-0.15,0.18,-0.22,-3.69
2021-05,4.99,-0.31,0.23,-0.18,-3.7
2021-06,5.39,-0.4,0.22,-0.12,-3.88
2021-07,5.37,-0.42,0.21,-0.07,-3.86
2021-08,5.25,-0.34,0.2,-0.1,-3.72
2021-09,5.39,-0.28,0.22,-0.15,-3.56
2021-10,6.22,-0.28,0.25,-0.19,-3.42
2021-11,6.81,-0.32,0.27,-0.2,-3.26
2021-12,7.04,-0.29,0.32,-0.25,-3.01
2022-01,7.48,-0.24,0.35,-0.31,-2.77
2022-02,7.87,-0.15,0.4,-0.41,-2.61
2022-03,8.54,-0.09,0.38,-0.43,-2.53
2022-04,8.26,-0.01,0.37,-0.48,-2.33
2022-05,8.58,0.09,0.35,-0.54,-2.23
2022-06,9.06,0.17,0.34,-0.6,-1.99
2022-07,8.52,0.24,0.28,-0.6,-1.97
2022-08,8.26,0.28,0.22,-0.56,-2.05
2022-09,8.2,0.3,0.17,-0.52,-2.15
2022-10,7.75,0.32,0.13,-0.49,-2.25
2022-11,7.11,0.36,0.06,-0.44,-2.18
2022-12,6.45,0.43,0.0,-0.43,-2.13
2023-01,6.41,0.46,-0.05,-0.38,-2.0
2023-02,6.04,0.43,-0.11,-0.28,-1.92
2023-03,4.98,0.36,-0.14,-0.18,-1.91
2023-04,4.93,0.29,-0.18,-0.07,-1.94
2023-05,4.05,0.24,-0.21,0.02,-1.92
2023-06,2.97,0.2,-0.24,0.1,-2.05
2023-07,3.18,0.18,-0.21,0.09,-2.01
2023-08,3.67,0.16,-0.14,0.03,-1.97
2023-09,3.7,0.16,-0.1,-0.01,-1.91
2023-10,3.24,0.16,-0.1,0.01,-2.02
2023-11,3.14,0.16,-0.1,0.02,-2.13
2023-12,3.35,0.17,-0.09,0.01,-2.12
2024-01,3.09,0.17,-0.06,-0.02,-2.19
2024-02,3.15,0.22,-0.05,-0.07,-2.2
2024-03,3.48,0.26,-0.04,-0.11,-2.22
2024-04,3.36,0.31,-0.06,-0.12,-2.13
2024-05,3.27,0.34,-0.09,-0.09,-2.17
2024-06,2.97,0.36,-0.11,-0.08,-2.13
2024-07,2.89,0.36,-0.14,-0.04,-2.3
2024-08,2.53,0.34,-0.15,-0.02,-2.22
2024-09,2.44,0.31,-0.14,-0.02,-2.25
2024-10,2.6,0.29,-0.11,-0.06,-1.92
2024-11,2.75,0.28,-0.08,-0.1,-2.0
2024-12,2.89,0.24,-0.04,-0.13,-2.02
2025-01,3.0,0.2,-0.02,-0.12,-2.2
2025-02,2.82,0.15,-0.02,-0.08,-2.12
2025-03,2.39,0.14,-0.03,-0.05,-1.94
2025-04,2.31,0.14,-0.03,-0.04,-1.81
2025-05,2.35,0.14,-0.03,-0.06,-1.76
2025-06,2.67,0.12,-0.02,-0.07,-1.79
2025-07,2.7,0.1,0.0,-0.09,-1.78
2025-08,2.92,0.09,0.03,-0.12,-1.79
2025-09,3.01,0.1,0.06,-0.15,-1.8
2025-10,,0.1,0.07,-0.17,-1.79
2025-11,2.74,0.11,0.06,-0.16,-1.76
2025-12,2.68,0.13,0.03,-0.14,-1.72
2026-01,2.39,0.16,-0.01,-0.12,-1.73
2026-02,2.41,0.19,0.01,-0.17,-1.73
2026-03,3.26,0.23,0.06,-0.29,-1.87
2026-04,3.81,0.25,0.12,-0.37,-1.88
