month,low_retail,mid_retail,high_retail,low_foodbev,mid_foodbev,high_foodbev,top_125_175,top_175_225,top_225_250,top_250p
2020-01,100.0,100.0,100.0,100.0,100.0,100.0,,,,
2020-02,99.66,98.25,98.8,98.56,99.14,99.12,,,,
2020-03,99.99,95.19,97.52,117.78,122.89,130.49,,,,
2020-04,102.42,90.89,90.04,111.29,110.05,113.09,,,,
2020-05,106.04,98.37,97.59,110.86,109.38,112.33,,,,
2020-06,106.52,100.34,100.85,107.74,106.65,110.2,,,,
2020-07,107.71,100.42,100.83,110.02,107.58,110.52,,,,
2020-08,106.01,100.21,102.99,106.11,104.81,104.35,,,,
2020-09,107.06,102.8,105.2,107.93,105.94,105.47,,,,
2020-10,108.05,103.06,106.71,104.92,104.17,105.49,,,,
2020-11,107.77,103.06,105.03,107.47,105.27,104.81,,,,
2020-12,106.98,101.32,103.15,107.11,106.04,104.85,,,,
2021-01,109.73,106.12,105.93,107.69,106.32,105.08,,,,
2021-02,108.01,105.04,107.48,107.34,106.89,107.09,,,,
2021-03,118.28,108.03,109.27,107.53,107.15,107.16,,,,
2021-04,117.72,107.66,108.17,108.58,105.38,107.19,,,,
2021-05,114.54,106.61,109.04,108.37,106.81,106.17,,,,
2021-06,111.56,104.89,107.95,108.86,105.52,105.33,,,,
2021-07,110.4,103.69,105.98,108.39,106.18,105.04,,,,
2021-08,111.81,103.53,106.02,108.86,106.15,104.3,,,,
2021-09,111.12,105.19,107.93,106.44,104.99,104.0,,,,
2021-10,108.09,103.51,106.24,106.63,104.58,103.2,,,,
2021-11,109.05,104.07,107.64,104.85,104.01,102.64,,,,
2021-12,107.85,103.21,105.53,105.31,103.7,102.62,,,,
2022-01,105.28,101.21,104.36,106.21,102.69,102.1,,,,
2022-02,105.5,102.37,105.39,104.32,101.3,100.75,,,,
2022-03,103.79,100.05,102.57,101.52,99.69,99.29,,,,
2022-04,104.28,101.4,104.24,102.32,100.19,98.8,,,,
2022-05,103.57,99.8,103.11,100.77,99.64,97.46,,,,
2022-06,101.49,98.26,100.64,100.88,98.45,96.59,,,,
2022-07,101.88,99.83,103.29,98.88,96.61,96.01,,,,
2022-08,101.5,98.5,100.95,99.38,97.44,95.68,,,,
2022-09,102.19,99.06,101.46,100.15,97.55,95.33,,,,
2022-10,103.33,100.55,101.68,100.5,96.72,95.15,,,,
2022-11,101.15,99.33,101.35,100.28,97.08,95.39,,,,
2022-12,102.45,100.43,102.56,100.41,97.9,96.1,,,,
2023-01,102.71,100.4,102.48,98.57,96.44,94.95,100.0,100.0,100.0,100.0
2023-02,102.16,101.15,102.77,99.47,96.95,95.69,100.57,100.53,101.53,99.08
2023-03,100.14,99.28,101.63,97.1,96.77,95.63,99.73,99.67,101.15,97.66
2023-04,100.94,99.45,103.56,97.05,96.66,96.17,101.09,100.82,104.9,100.03
2023-05,99.19,99.56,102.21,97.27,96.86,95.79,99.55,99.49,101.76,99.87
2023-06,99.82,99.58,102.76,96.12,96.91,96.39,100.14,100.75,99.08,100.43
2023-07,100.0,99.97,103.33,95.85,96.87,95.38,100.96,100.64,101.35,100.65
2023-08,99.24,99.4,102.88,95.04,96.29,95.07,100.29,100.58,101.82,100.08
2023-09,99.01,100.69,103.73,95.33,95.58,95.36,101.73,100.96,100.69,100.42
2023-10,98.39,99.5,104.57,94.93,97.33,95.7,102.1,102.41,102.28,101.45
2023-11,100.97,101.37,106.39,95.23,96.66,96.17,103.49,104.16,105.88,104.03
2023-12,100.74,102.32,107.39,94.37,96.15,96.11,104.06,105.17,107.92,105.57
2024-01,100.21,100.93,107.35,93.26,95.39,96.56,104.35,104.9,107.58,105.5
2024-02,100.47,100.49,107.08,93.65,96.05,96.28,103.46,104.85,107.16,106.24
2024-03,101.05,100.78,107.66,95.69,97.3,96.91,103.9,104.13,109.29,106.54
2024-04,100.26,102.3,105.62,93.94,94.99,95.62,102.31,104.3,109.38,104.48
2024-05,102.1,102.15,107.86,96.57,96.24,96.28,103.73,106.63,110.66,106.48
2024-06,101.12,102.05,107.78,94.11,95.1,95.8,103.99,106.62,111.52,105.33
2024-07,101.22,102.1,106.61,95.01,95.11,96.11,102.62,105.5,110.62,104.92
2024-08,103.64,104.99,109.81,97.11,96.32,96.7,105.88,108.76,112.77,107.8
2024-09,103.84,104.45,109.76,97.22,96.89,96.59,105.78,108.82,112.77,107.9
2024-10,105.03,105.23,109.37,97.36,95.98,96.11,105.33,108.29,112.03,107.98
2024-11,104.32,105.91,109.95,97.38,96.1,95.34,106.13,108.42,111.72,108.95
2024-12,105.15,106.46,111.0,98.01,96.25,94.19,107.01,109.16,115.04,109.53
2025-01,105.5,105.35,109.31,95.82,94.12,93.48,105.39,108.11,112.68,107.24
2025-02,105.64,106.03,110.16,97.61,95.85,93.07,106.43,109.39,113.32,107.04
2025-03,106.2,107.6,110.63,98.26,95.4,92.68,106.59,110.73,112.26,108.22
2025-04,107.34,106.36,111.53,99.78,96.09,92.93,107.79,110.2,114.32,109.1
2025-05,106.67,107.85,111.87,98.04,94.63,92.73,109.02,109.85,115.31,108.47
2025-06,107.82,106.68,111.7,99.73,96.01,93.2,108.5,109.43,113.98,109.75
2025-07,108.77,107.98,113.21,99.31,95.44,93.22,110.29,111.29,114.06,110.39
2025-08,107.23,108.23,112.91,99.22,95.39,93.19,110.0,110.88,117.59,109.41
2025-09,106.78,106.41,111.43,98.74,94.76,92.4,108.36,109.67,114.9,108.38
