quarter,credit_card,home_equity,auto,student,other
1999Q1,0.48,0.08,0.35,,0.43
1999Q2,0.48,0.08,0.35,,0.41
1999Q3,0.5,0.09,0.38,,0.39
1999Q4,0.5,0.1,0.39,,0.4
2000Q1,0.52,0.1,0.41,,0.41
2000Q2,0.54,0.11,0.44,,0.45
2000Q3,0.53,0.1,0.46,,0.43
2000Q4,0.58,0.12,0.47,,0.44
2001Q1,0.6,0.12,0.51,,0.45
2001Q2,0.61,0.13,0.51,,0.44
2001Q3,0.63,0.14,0.52,,0.43
2001Q4,0.64,0.16,0.55,,0.43
2002Q1,0.63,0.17,0.58,,0.43
2002Q2,0.66,0.18,0.58,,0.45
2002Q3,0.68,0.2,0.61,,0.46
2002Q4,0.69,0.22,0.63,,0.46
2003Q1,0.688,0.242,0.641,0.2407,0.4776
2003Q2,0.693,0.26,0.622,0.2429,0.486
2003Q3,0.693,0.269,0.684,0.2488,0.4773
2003Q4,0.698,0.302,0.704,0.2529,0.4486
2004Q1,0.695,0.328,0.72,0.2598,0.4465
2004Q2,0.697,0.367,0.743,0.2629,0.4231
2004Q3,0.706,0.426,0.751,0.33,0.41
2004Q4,0.717,0.468,0.728,0.3457,0.4229
2005Q1,0.71,0.502,0.725,0.3636,0.3941
2005Q2,0.717,0.528,0.774,0.3744,0.4024
2005Q3,0.732,0.541,0.83,0.3777,0.4054
2005Q4,0.736,0.565,0.792,0.3917,0.4155
2006Q1,0.723,0.582,0.788,0.4345,0.4183
2006Q2,0.739,0.59,0.796,0.4389,0.4232
2006Q3,0.754,0.603,0.821,0.4467,0.4417
2006Q4,0.767,0.604,0.821,0.4816,0.4057
2007Q1,0.764,0.605,0.794,0.5064,0.4039
2007Q2,0.796,0.619,0.807,0.514,0.4078
2007Q3,0.817,0.631,0.818,0.5285004,0.413
2007Q4,0.839,0.647,0.815,0.5475,0.4221
2008Q1,0.837,0.663,0.808,0.5792,0.4153
2008Q2,0.85,0.679,0.81,0.5863,0.4008
