date,gold_usd_oz,silver_usd_oz,platinum_usd_oz
1975-01-02,175,,
1975-01-03,174,,
1975-01-06,173.5,,
1975-01-07,169.5,,
1975-01-08,180,,
1975-01-09,179,,
1975-01-10,177.25,,
1975-01-13,180.25,,
1975-01-14,177.1,,
1975-01-15,178.25,,
1975-01-16,176,,
1975-01-17,178.75,,
1975-01-20,175,,
1975-01-21,175.75,,
1975-01-22,175.5,,
1975-01-23,174,,
1975-01-24,177.5,,
1975-01-27,179,,
1975-01-28,176.5,,
1975-01-29,178,,
1975-01-30,177.25,,
1975-01-31,175.8,,
1975-02-03,176.25,,
1975-02-04,174.25,,
1975-02-05,175,,
1975-02-06,173.4,,
1975-02-07,174.5,,
1975-02-10,174,,
1975-02-11,174.5,,
1975-02-12,174.9,,
1975-02-13,178.6,,
1975-02-14,184,,
1975-02-17,181.4,,
1975-02-18,181,,
1975-02-19,184.25,,
1975-02-20,183.75,,
1975-02-21,184.75,,
1975-02-24,185.25,,
1975-02-25,185,,
1975-02-26,183,,
1975-02-27,182.25,,
1975-02-28,181.75,,
1975-03-03,181.85,,
1975-03-04,179.75,,
1975-03-05,178.5,,
1975-03-06,180.5,,
1975-03-07,178,,
1975-03-10,176.25,,
1975-03-11,178.9,,
1975-03-12,177.5,,
1975-03-13,178.75,,
1975-03-14,178,,
1975-03-17,177.75,,
1975-03-18,178.5,,
1975-03-19,178.5,,
1975-03-20,177.25,,
1975-03-21,176.25,,
1975-03-24,177,,
1975-03-25,176.75,,
1975-03-26,177.75,,
1975-03-27,177.25,,
1975-04-01,177.25,,
1975-04-02,177.25,,
1975-04-03,175.6,,
1975-04-04,173.45,,
1975-04-07,172.6,,
1975-04-08,174,,
1975-04-09,173.1,,
1975-04-10,172.5,,
1975-04-11,171.9,,
1975-04-14,167.5,,
1975-04-15,164,,
1975-04-16,166.5,,
1975-04-17,167.5,,
1975-04-18,170.25,,
1975-04-21,165.6,,
1975-04-22,165.5,,
1975-04-23,168,,
1975-04-24,167.2,,
1975-04-25,166.1,,
1975-04-28,166.5,,
1975-04-29,167.05,,
1975-04-30,167,,
1975-05-01,166,,
1975-05-02,165.5,,
1975-05-05,163.5,,
1975-05-06,164,,
1975-05-07,165.25,,
1975-05-08,166.25,,
1975-05-09,165.75,,
1975-05-12,165.4,,
1975-05-13,165.5,,
1975-05-14,166.75,,
1975-05-15,166,,
1975-05-16,165.75,,
1975-05-19,167.75,,
1975-05-20,166.9,,
1975-05-21,168.5,,
1975-05-22,174.75,,
1975-05-23,173.4,,
1975-05-27,172,,
1975-05-28,171,,
1975-05-29,168.25,,
1975-05-30,167,,
1975-06-02,161.75,,
1975-06-03,165.25,,
1975-06-04,165.75,,
1975-06-05,164.5,,
1975-06-06,165.25,,
1975-06-09,165.35,,
1975-06-10,165.9,,
1975-06-11,164.75,,
1975-06-12,165.5,,
1975-06-13,164.55,,
1975-06-16,164,,
1975-06-17,164,,
1975-06-18,163.75,,
1975-06-19,162.85,,
1975-06-20,162.5,,
1975-06-23,162.4,,
1975-06-24,162.4,,
1975-06-25,164,,
1975-06-26,164,,
1975-06-27,164.5,,
1975-06-30,166.25,,
1975-07-01,166.5,,
1975-07-02,165,,
1975-07-03,164,,
1975-07-04,164.25,,
1975-07-07,162.5,,
1975-07-08,164,,
1975-07-09,165.85,,
1975-07-10,163.25,,
1975-07-11,165.3,,
1975-07-14,166.75,,
1975-07-15,165,,
1975-07-16,164.1,,
1975-07-17,164.1,,
1975-07-18,164,,
1975-07-21,164.25,,
1975-07-22,165.25,,
1975-07-23,164.25,,
1975-07-24,164.85,,
1975-07-25,166.25,,
1975-07-28,167,,
1975-07-29,168.4,,
1975-07-30,167.25,,
1975-07-31,166.7,,
1975-08-01,166.75,,
1975-08-04,166.5,,
1975-08-05,166.05,,
1975-08-06,164.85,,
1975-08-07,165.3,,
1975-08-08,164.35,,
1975-08-11,161.9,,
1975-08-12,163.5,,
1975-08-13,162.3,,
1975-08-14,161.8,,
1975-08-15,162.1,,
1975-08-18,161.7,,
1975-08-19,161.35,,
1975-08-20,162.7,,
1975-08-21,161.9,,
1975-08-22,161.95,,
1975-08-26,161.85,,
1975-08-27,161.4,,
1975-08-28,161.9,,
1975-08-29,159.8,,
1975-09-01,155,,
1975-09-02,149.25,,
1975-09-03,150.35,,
1975-09-04,153.25,,
1975-09-05,153.25,,
1975-09-08,152.25,,
1975-09-09,148.5,,
1975-09-10,149.9,,
1975-09-11,147.65,,
1975-09-12,148,,
1975-09-15,148.25,,
1975-09-16,147.1,,
1975-09-17,142.9,,
1975-09-18,139.5,,
1975-09-19,135.5,,
1975-09-22,136.6,,
1975-09-23,128.75,,
1975-09-24,132.75,,
1975-09-25,134.5,,
1975-09-26,136.3,,
1975-09-29,139.25,,
1975-09-30,141.25,,
1975-10-01,143.5,,
1975-10-02,144.65,,
1975-10-03,138.9,,
1975-10-06,140.75,,
1975-10-07,142.5,,
1975-10-08,139.3,,
1975-10-09,140,,
1975-10-10,142.25,,
1975-10-13,142,,
1975-10-14,140.5,,
1975-10-15,142.75,,
1975-10-16,143.25,,
1975-10-17,144.9,,
1975-10-20,144.75,,
1975-10-21,146.25,,
1975-10-22,144.5,,
1975-10-23,144.15,,
1975-10-24,143.5,,
1975-10-27,142.9,,
1975-10-28,142.7,,
1975-10-29,142.75,,
1975-10-30,143.75,,
1975-10-31,142.9,,
1975-11-03,143.25,,
1975-11-04,144,,
1975-11-05,145.9,,
1975-11-06,145.9,,
1975-11-07,144.6,,
1975-11-10,144.2,,
1975-11-11,144.25,,
1975-11-12,143.85,,
1975-11-13,143.85,,
1975-11-14,142,,
1975-11-17,142,,
1975-11-18,139.25,,
1975-11-19,141.75,,
1975-11-20,142.4,,
1975-11-21,141.35,,
1975-11-24,140.6,,
1975-11-25,141.4,,
1975-11-26,140.6,,
1975-11-27,139,,
1975-11-28,138.15,,
1975-12-01,137.9,,
1975-12-02,139.3,,
1975-12-03,139.45,,
1975-12-04,138.85,,
1975-12-05,138,,
1975-12-08,137.25,,
1975-12-09,137.25,,
1975-12-10,139.4,,
1975-12-11,140.2,,
1975-12-12,138.7,,
1975-12-15,138.15,,
1975-12-16,138.8,,
1975-12-17,138.85,,
1975-12-18,138.9,,
1975-12-19,139.1,,
1975-12-22,142.4,,
1975-12-23,140.8,,
1975-12-29,141.75,,
1975-12-30,140.75,,
1975-12-31,140.25,,
1976-01-02,140.35,,
1976-01-05,138.6,,
1976-01-06,139,,
1976-01-07,138.35,,
1976-01-08,135.8,,
1976-01-09,136.55,,
1976-01-12,136.65,,
1976-01-13,132,,
1976-01-14,130.35,,
1976-01-15,132.5,,
1976-01-16,130.8,,
1976-01-19,128.9,,
1976-01-20,124.6,,
1976-01-21,124.9,,
1976-01-22,126.15,,
1976-01-23,129,,
1976-01-26,125.65,,
1976-01-27,126.25,,
1976-01-28,128.1,,
1976-01-29,128.6,,
1976-01-30,128.15,,
1976-02-02,130.4,,
1976-02-03,131.7,,
1976-02-04,129.75,,
1976-02-05,128.75,,
1976-02-06,130.6,,
1976-02-09,130.1,,
1976-02-10,129.5,,
1976-02-11,130.85,,
1976-02-12,131.8,,
1976-02-13,131.1,,
1976-02-16,131.25,,
1976-02-17,130.15,,
1976-02-18,131.2,,
1976-02-19,131,,
1976-02-20,131.75,,
1976-02-23,131.65,,
1976-02-24,132.45,,
1976-02-25,133.4,,
1976-02-26,132.2,,
1976-02-27,132.3,,
1976-03-01,132.3,,
1976-03-02,131.4,,
1976-03-03,132.25,,
1976-03-04,132.25,,
1976-03-05,133.7,,
1976-03-08,132.75,,
1976-03-09,132.9,,
1976-03-10,133.9,,
1976-03-11,133.65,,
1976-03-12,133.35,,
1976-03-15,133.8,,
1976-03-16,132.5,,
1976-03-17,133.35,,
1976-03-18,134.25,,
1976-03-19,133.6,,
1976-03-22,133.75,,
1976-03-23,133.1,,
1976-03-24,133.6,,
1976-03-25,132.7,,
1976-03-26,131.8,,
1976-03-29,130.1,,
1976-03-30,128.7,,
1976-03-31,129.6,,
1976-04-01,129.2,,
1976-04-02,129.1,,
1976-04-05,127.25,,
1976-04-06,128.3,,
1976-04-07,127.7,,
1976-04-08,128.2,,
1976-04-09,127.7,,
1976-04-12,127.2,,
1976-04-13,128.1,,
1976-04-14,127.7,,
1976-04-15,127.75,,
1976-04-20,127.85,,
1976-04-21,127.25,,
1976-04-22,127.3,,
1976-04-23,127.4,,
1976-04-26,127.8,,
1976-04-27,128.7,,
1976-04-28,128,,
1976-04-29,127.9,,
1976-04-30,128.4,,
1976-05-03,128.35,,
1976-05-04,127.75,,
1976-05-05,127.25,,
1976-05-06,126.9,,
1976-05-07,128.25,,
1976-05-10,128.45,,
1976-05-11,127.85,,
1976-05-12,127.9,,
1976-05-13,127.7,,
1976-05-14,127.7,,
1976-05-17,127.7,,
1976-05-18,127.5,,
1976-05-19,126.8,,
1976-05-20,125.65,,
1976-05-21,125.8,,
1976-05-24,125.2,,
1976-05-25,124.5,,
1976-05-26,125.75,,
1976-05-27,126.2,,
1976-05-28,125.5,,
1976-06-01,126.65,,
1976-06-02,126.9,,
1976-06-03,127.2,,
1976-06-04,126.6,,
1976-06-07,127.1,,
1976-06-08,127.4,,
1976-06-09,127,,
1976-06-10,126.65,,
1976-06-11,125.5,,
1976-06-14,125.8,,
1976-06-15,125.7,,
1976-06-16,125,,
1976-06-17,125.8,,
1976-06-18,125.85,,
1976-06-21,125.8,,
1976-06-22,125.2,,
1976-06-23,124.7,,
1976-06-24,124.5,,
1976-06-25,124.85,,
1976-06-28,123.9,,
1976-06-29,123.7,,
1976-06-30,123.8,,
1976-07-01,122.9,,
1976-07-02,123.25,,
1976-07-05,123.15,,
1976-07-06,123.3,,
1976-07-07,123.3,,
1976-07-08,123.1,,
1976-07-09,122.5,,
1976-07-12,121.85,,
1976-07-13,122.25,,
1976-07-14,122.2,,
1976-07-15,121.4,,
1976-07-16,117.85,,
1976-07-19,114.15,,
1976-07-20,107.75,,
1976-07-21,113,,
1976-07-22,111.75,,
1976-07-23,111,,
1976-07-26,113,,
1976-07-27,114.15,,
1976-07-28,114,,
1976-07-29,112.25,,
1976-07-30,112.5,,
1976-08-02,111.9,,
1976-08-03,111.6,,
1976-08-04,113.4,,
1976-08-05,112.6,,
1976-08-06,112.8,,
1976-08-09,112.7,,
1976-08-10,113.4,,
1976-08-11,113.55,,
1976-08-12,113.2,,
1976-08-13,113.4,,
1976-08-16,113.15,,
1976-08-17,112.15,,
1976-08-18,108.1,,
1976-08-19,109.45,,
1976-08-20,109,,
1976-08-23,106.6,,
1976-08-24,104.8,,
1976-08-25,103.5,,
1976-08-26,105,,
1976-08-27,104.2,,
1976-08-31,104,,
1976-09-01,105.7,,
1976-09-02,106.1,,
1976-09-03,107.4,,
1976-09-06,113.65,,
1976-09-07,110.75,,
1976-09-08,111.6,,
1976-09-09,112,,
1976-09-10,115.7,,
1976-09-13,114.4,,
1976-09-14,111.6,,
1976-09-15,111.25,,
1976-09-16,114,,
1976-09-17,119.5,,
1976-09-20,115.4,,
1976-09-21,119.9,,
1976-09-22,118,,
1976-09-23,117.75,,
1976-09-24,119.15,,
1976-09-27,118.9,,
1976-09-28,116.25,,
1976-09-29,116.2,,
1976-09-30,116,,
