month,leading,coincident,lagging,lci
1959-01,20.8,23.8,24.9,
1959-02,21.1,24.1,25,
1959-03,21.4,24.3,25,
1959-04,21.5,24.5,25.2,
1959-05,21.6,24.7,25.3,
1959-06,21.7,24.8,25.5,
1959-07,21.8,24.7,25.6,
1959-08,21.7,24.3,25.9,
1959-09,21.7,24.3,26.1,
1959-10,21.6,24.3,26.2,
1959-11,21.5,24.4,26.2,
1959-12,22,25,26.2,
1960-01,22,25.2,26.1,
1960-02,22,25.2,26.2,
1960-03,21.9,25.1,26.4,
1960-04,22,25.2,26.4,
1960-05,22,25,26.7,
1960-06,22,25,26.8,
1960-07,22.1,24.9,26.9,
1960-08,22.1,24.9,26.9,
1960-09,22.2,24.9,26.8,
1960-10,22.2,24.9,26.9,
1960-11,22.2,24.7,26.9,
1960-12,22.2,24.5,27,
1961-01,22.3,24.5,27.1,
1961-02,22.4,24.5,27.1,
1961-03,22.7,24.6,27,
1961-04,22.9,24.7,26.9,
1961-05,23.2,24.9,26.8,
1961-06,23.5,25.2,26.7,
1961-07,23.6,25.2,26.6,
1961-08,24,25.4,26.7,
1961-09,24,25.5,26.8,
1961-10,24.3,25.7,26.8,
1961-11,24.7,26,26.8,
1961-12,24.9,26.1,27,
1962-01,24.9,26,27.1,
1962-02,25.2,26.2,27.1,
1962-03,25.3,26.4,27.3,
1962-04,25.5,26.5,27.3,
1962-05,25.4,26.5,27.5,
1962-06,25.4,26.5,27.6,
1962-07,25.6,26.6,27.6,
1962-08,25.7,26.6,27.8,
1962-09,25.8,26.7,27.8,
1962-10,25.9,26.8,27.8,
1962-11,26.2,26.9,27.9,
1962-12,26.3,26.9,28,
1963-01,26.5,26.9,28,
1963-02,26.7,27.1,28,
1963-03,26.9,27.2,28.1,
1963-04,27.2,27.4,28.2,
1963-05,27.4,27.5,28.2,
1963-06,27.5,27.6,28.3,
1963-07,27.7,27.6,28.4,
1963-08,27.8,27.7,28.6,
1963-09,28.1,27.8,28.6,
1963-10,28.3,28,28.7,
1963-11,28.4,28,28.9,
1963-12,28.5,28.1,29,
1964-01,28.7,28.3,29,
1964-02,29,28.4,29,
1964-03,29.1,28.5,29.1,
1964-04,29.3,28.7,29.3,
1964-05,29.6,28.9,29.2,
1964-06,29.7,28.9,29.3,
1964-07,30,29.1,29.3,
1964-08,30.2,29.2,29.5,
1964-09,30.5,29.4,29.6,
1964-10,30.5,29.2,29.7,
1964-11,30.8,29.6,29.7,
1964-12,31,29.9,29.7,
1965-01,31.3,30,30,
1965-02,31.4,30.1,30.2,
1965-03,31.8,30.4,30.2,
1965-04,31.9,30.5,30.4,
1965-05,32.1,30.6,30.5,
1965-06,32.2,30.7,30.6,
1965-07,32.4,31,30.7,
1965-08,32.5,31.1,30.7,
1965-09,32.7,31.1,30.9,
1965-10,33.1,31.5,31,
1965-11,33.4,31.7,31.1,
1965-12,33.7,31.9,31.2,
1966-01,33.9,32.1,31.4,
1966-02,34.1,32.2,31.6,
1966-03,34.4,32.5,31.7,
1966-04,34.5,32.5,31.9,
1966-05,34.3,32.6,32.1,
1966-06,34.3,32.9,32.3,
1966-07,34.2,32.9,32.5,
1966-08,34.1,33,32.7,
1966-09,34.1,33.2,32.7,
1966-10,34,33.3,32.7,
1966-11,34,33.3,33,
1966-12,33.9,33.4,33,
1967-01,34.1,33.5,33.1,
1967-02,34,33.4,33.2,
1967-03,34.2,33.5,33.3,
1967-04,34.3,33.6,33.4,
1967-05,34.6,33.5,33.3,
1967-06,34.8,33.6,33.6,
1967-07,35,33.7,33.6,
1967-08,35.4,33.9,33.5,
1967-09,35.5,34,33.6,
1967-10,35.6,34,33.7,
1967-11,35.9,34.4,33.7,
1967-12,36.2,34.7,33.7,
1968-01,36.3,34.6,33.8,
1968-02,36.4,34.8,34,
1968-03,36.5,34.9,34.1,
1968-04,36.6,35,34.2,
1968-05,36.9,35.2,34.4,
1968-06,37,35.4,34.5,
1968-07,37.1,35.5,34.5,
1968-08,37,35.5,34.8,
1968-09,37.4,35.7,34.7,
1968-10,37.7,35.8,34.9,
1968-11,37.7,36.1,34.9,
1968-12,37.7,36.1,35.1,
1969-01,37.8,36.2,35.3,
1969-02,38,36.4,35.4,
1969-03,38.1,36.5,35.6,
1969-04,38.3,36.6,35.8,
1969-05,38,36.6,36,
1969-06,37.9,36.8,36.2,
1969-07,37.7,36.9,36.2,
1969-08,37.6,37.1,36.4,
1969-09,37.7,37.2,36.5,
1969-10,37.4,37.3,36.5,
1969-11,37.3,37.2,36.6,
1969-12,37.1,37.2,36.8,
1970-01,36.6,37,37,
1970-02,36.4,37,37,
1970-03,36.1,37,37.1,
1970-04,35.8,36.9,37.1,
1970-05,35.8,36.9,37.1,
1970-06,35.8,36.9,37.1,
1970-07,35.9,37,37,
1970-08,36,37,37.1,
1970-09,36,36.9,37,
1970-10,35.9,36.6,37,
1970-11,35.9,36.4,37,
1970-12,36.4,36.8,36.8,
1971-01,36.6,37.1,36.7,
1971-02,37,37.1,36.7,
1971-03,37.3,37.2,36.6,
1971-04,37.4,37.3,36.5,
1971-05,37.7,37.5,36.5,
1971-06,37.8,37.6,36.4,
1971-07,37.9,37.5,36.5,
1971-08,38,37.6,36.8,
1971-09,38.2,37.8,36.8,
1971-10,38.4,37.9,36.7,
1971-11,38.6,38.2,36.7,
1971-12,39,38.4,36.7,
1972-01,39.4,38.8,36.3,
1972-02,39.9,38.9,36.3,
1972-03,40.2,39.2,36.4,
1972-04,40.4,39.4,36.6,
1972-05,40.6,39.5,36.7,
1972-06,40.9,39.7,36.8,
1972-07,41.2,39.7,36.9,
1972-08,41.7,40.2,36.9,
1972-09,42.2,40.4,36.9,
1972-10,42.5,40.9,37,
1972-11,43,41.3,37,
1972-12,43.4,41.6,37,
1973-01,43.7,41.7,37.3,
1973-02,43.9,42,37.6,
1973-03,43.8,42,37.9,
1973-04,43.6,42,38.1,
1973-05,43.6,42.2,38.3,
1973-06,43.5,42.2,38.7,
1973-07,43.2,42.4,38.9,
1973-08,42.8,42.3,39.3,
1973-09,42.7,42.5,39.4,
1973-10,42.6,42.9,39.5,
1973-11,42.4,43.1,39.7,
1973-12,41.9,43,39.8,
1974-01,41.6,42.8,40.1,
1974-02,41.4,42.7,40.1,
1974-03,41.3,42.6,40.2,
1974-04,40.7,42.5,40.5,
1974-05,40.5,42.7,40.9,
1974-06,40.1,42.6,41.1,
1974-07,39.7,42.6,41.4,
1974-08,39,42.5,41.8,
1974-09,38.2,42.4,42,
1974-10,37.8,42.3,42.2,
1974-11,37.2,41.7,42.2,
1974-12,36.5,41.1,42.4,
1975-01,36.2,40.9,42.2,
1975-02,36.1,40.5,41.9,
1975-03,36,40.2,41.7,
1975-04,36.5,40.2,41.3,
1975-05,36.7,40.3,41,
1975-06,37,40.4,40.3,
1975-07,37.4,40.5,40.3,
1975-08,37.5,40.9,40.1,
1975-09,37.6,41,40.2,
1975-10,37.9,41.2,40.2,
1975-11,38.1,41.2,40.2,
1975-12,38.4,41.5,40.2,
1976-01,38.9,41.9,40.3,
1976-02,39.5,42.2,40.3,
1976-03,39.6,42.3,40.3,
1976-04,39.8,42.5,40.3,
1976-05,40.1,42.6,40.2,
1976-06,40.3,42.7,40.2,
1976-07,40.6,42.8,40.2,
1976-08,40.8,43,40.2,
1976-09,41.1,43.1,40.3,
1976-10,41.2,43,40.5,
1976-11,41.5,43.5,40.6,
1976-12,41.9,43.8,40.5,
1977-01,41.9,43.7,40.6,
1977-02,42.2,44,40.7,
1977-03,42.8,44.4,40.7,
1977-04,42.9,44.6,40.9,
1977-05,43.2,44.8,40.9,
1977-06,43.4,45,41.2,
1977-07,43.5,45.2,41.3,
1977-08,43.7,45.3,41.5,
1977-09,43.8,45.5,41.6,
1977-10,43.9,45.8,41.7,
1977-11,44,46,41.9,
1977-12,44.1,46.3,41.9,
1978-01,43.9,45.9,42.2,
1978-02,44.1,46.2,42.3,
1978-03,44.5,46.7,42.5,
1978-04,45,47.3,42.5,
